gene,max_phase,n_trials,diseases,categories,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro,approved,failed
IFNAR1,4.0,6,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Lupus Erythematosus, Systemic; Multiple Sclerosis; Psoriasis; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; respiratory; skin,18.05,43.92,False,0.3,0.2432432432432432,1,0
IFNG,3.0,3,"Arthritis, Rheumatoid; Lupus Erythematosus, Systemic; Psoriasis",autoimmune; skin,0.0,2.58,False,0.0,0.1351351351351351,0,1
IGF1R,2.0,1,Crohn Disease; Multiple Sclerosis,GI; autoimmune,13.29,64.15,False,0.2,0.2972972972972973,0,1
IGHE,4.0,4,"Asthma; Dermatitis, Atopic; Lupus Erythematosus, Systemic; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory; skin,3.22,11.14,False,0.1,0.054054054054054,1,0
IKBKB,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,17.32,72.67,False,0.2,0.3783783783783784,0,1
IL13,4.0,5,"Asthma; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Pulmonary Disease, Chronic Obstructive",GI; respiratory; skin,3.31,99.09,False,0.2,0.1621621621621621,1,0
IL15,2.0,1,"Arthritis, Rheumatoid; Psoriasis",autoimmune; skin,31.5,27.81,True,0.5,0.2972972972972973,0,1
IL17A,4.0,9,"Arthritis, Rheumatoid; Asthma; Crohn Disease; Dermatitis, Atopic; Multiple Sclerosis; Psoriasis; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; respiratory; skin,0.0,0.0,False,0.0,0.0,1,0
IL17F,4.0,2,"Arthritis, Rheumatoid; Psoriasis; Spondylitis, Ankylosing",autoimmune; skin,0.0,0.0,False,0.0,0.027027027027027,1,0
IL17RA,4.0,1,"Arthritis, Rheumatoid; Asthma; Crohn Disease; Psoriasis; Spondylitis, Ankylosing",GI; autoimmune; respiratory; skin,28.82,33.51,False,0.3,0.3243243243243243,1,0
IL18,1.0,2,"Crohn Disease; Pulmonary Disease, Chronic Obstructive",GI; respiratory,10.77,91.56,False,0.1,0.2972972972972973,0,1
IL1A,2.0,2,"Colitis, Ulcerative; Dermatitis, Atopic; Psoriasis",GI; skin,75.78,18.7,True,0.1,0.054054054054054,0,1
IL1B,3.0,3,"Arthritis, Rheumatoid; Colitis, Ulcerative; Pulmonary Disease, Chronic Obstructive; Uveitis",GI; autoimmune; eye; respiratory,10.2,45.09,False,0.3,0.2702702702702703,0,1
IL1R1,4.0,3,"Arthritis, Rheumatoid; Asthma; Dermatomyositis; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive; Uveitis",autoimmune; eye; respiratory,5.72,333.19,False,0.2,0.6486486486486487,1,0
IL20,2.0,1,"Arthritis, Rheumatoid; Psoriasis",autoimmune; skin,0.0,30.05,False,0.0,0.1621621621621621,0,1
IL22,2.0,1,"Arthritis, Rheumatoid; Dermatitis, Atopic; Psoriasis",autoimmune; skin,0.0,0.0,False,0.0,0.0,0,1
IL31RA,3.0,1,"Dermatitis, Atopic",skin,6.13,59.84,False,0.2,0.2162162162162162,0,1
IL33,3.0,3,"Asthma; Dermatitis, Atopic; Pulmonary Disease, Chronic Obstructive",respiratory; skin,0.0,3.73,False,0.0,0.054054054054054,0,1
IL4R,4.0,1,"Asthma; Colitis, Ulcerative; Dermatitis, Atopic; Pulmonary Disease, Chronic Obstructive",GI; respiratory; skin,24.75,50.92,False,0.5,0.2162162162162162,1,0
IL5,4.0,3,"Asthma; Pulmonary Disease, Chronic Obstructive",respiratory,6.02,123.29,False,0.3,0.4054054054054054,1,0
IL5RA,4.0,1,"Asthma; Dermatitis, Atopic; Pulmonary Disease, Chronic Obstructive",respiratory; skin,20.35,61.24,False,0.2,0.3783783783783784,1,0
IL6,3.0,6,"Arthritis, Rheumatoid; Asthma; Crohn Disease; Lupus Erythematosus, Systemic",GI; autoimmune; respiratory,3.51,56.98,False,0.2,0.1891891891891892,0,1
IL6R,4.0,4,"Arthritis, Rheumatoid; Dermatomyositis; Lupus Erythematosus, Systemic; Spondylitis, Ankylosing; Uveitis",autoimmune; eye,99.59,82.9,True,0.5,0.3783783783783784,1,0
