gene,disease,category,mol_id,max_phase,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
CYSLTR1,Asthma,respiratory,CHEMBL603,4.0,14.82,0.0,True,0.1,0.027027027027027
DRD2,Asthma,respiratory,CHEMBL831,1.0,0.0,3.32,False,0.1,0.081081081081081
HTR2C,Asthma,respiratory,CHEMBL831,1.0,0.0,0.0,False,0.0,0.0
HTR2A,Asthma,respiratory,CHEMBL831,1.0,7.67,0.0,True,0.2,0.081081081081081
NR3C1,Asthma,respiratory,CHEMBL1473,4.0,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,CHEMBL1161,4.0,56.91,9.43,True,0.2,0.1891891891891892
ADRB2,Asthma,respiratory,CHEMBL1441059,4.0,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,Asthma,respiratory,CHEMBL1200764,4.0,11.74,0.0,True,0.2,0.054054054054054
PDE3A,Asthma,respiratory,CHEMBL1355736,4.0,11.67,0.0,True,0.1,0.1081081081081081
ADORA1,Asthma,respiratory,CHEMBL1355736,4.0,0.0,198.31,False,0.0,0.2432432432432432
ADORA3,Asthma,respiratory,CHEMBL1355736,4.0,43.73,24.52,True,0.4,0.2162162162162162
ADORA2A,Asthma,respiratory,CHEMBL1355736,4.0,2.81,2.2,True,0.1,0.1081081081081081
ADRB2,Asthma,respiratory,CHEMBL1568057,4.0,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,Asthma,respiratory,CHEMBL1315867,4.0,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,Asthma,respiratory,CHEMBL131,4.0,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,CHEMBL1200495,4.0,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Asthma,respiratory,CHEMBL1504,4.0,56.91,9.43,True,0.2,0.1891891891891892
ALOX5,Asthma,respiratory,CHEMBL93,4.0,3.77,14.06,False,0.1,0.1081081081081081
HMGCR,Asthma,respiratory,CHEMBL1064,3.0,23.51,34.51,False,0.3,0.3783783783783784
IL5,Asthma,respiratory,CHEMBL2108429,4.0,6.02,123.29,False,0.3,0.4054054054054054
IL5,Asthma,respiratory,CHEMBL2107884,4.0,6.02,123.29,False,0.3,0.4054054054054054
ADRB2,Asthma,respiratory,CHEMBL2218893,2.0,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,Asthma,respiratory,CHEMBL1676,4.0,56.91,9.43,True,0.2,0.1891891891891892
ADRB2,Asthma,respiratory,CHEMBL3989693,3.0,14.51,48.38,False,0.6,0.2972972972972973
TNF,Asthma,respiratory,CHEMBL1201580,2.0,36.86,19.49,True,0.1,0.1081081081081081
IGHE,Asthma,respiratory,CHEMBL1201589,4.0,3.22,11.14,False,0.1,0.054054054054054
FGFR2,Asthma,respiratory,CHEMBL1201821,2.0,5.13,13.28,False,0.1,0.081081081081081
TNF,Asthma,respiratory,CHEMBL1201833,2.0,36.86,19.49,True,0.1,0.1081081081081081
IL5RA,Asthma,respiratory,CHEMBL1742991,4.0,20.35,61.24,False,0.2,0.3783783783783784
IL13,Asthma,respiratory,CHEMBL1743081,3.0,3.31,99.09,False,0.2,0.1621621621621621
IL1R1,Asthma,respiratory,CHEMBL1201570,1.0,5.72,333.19,False,0.2,0.6486486486486487
TNF,Asthma,respiratory,CHEMBL1201572,2.0,36.86,19.49,True,0.1,0.1081081081081081
IFNAR1,Asthma,respiratory,CHEMBL1201562,2.0,18.05,43.92,False,0.3,0.2432432432432432
CHRM1,Asthma,respiratory,CHEMBL1201027,3.0,0.0,43.55,False,0.0,0.2432432432432432
CHRM3,Asthma,respiratory,CHEMBL1201027,3.0,11.74,0.0,True,0.2,0.054054054054054
IL13,Asthma,respiratory,CHEMBL2109465,2.0,3.31,99.09,False,0.2,0.1621621621621621
IL4R,Asthma,respiratory,CHEMBL2108675,4.0,24.75,50.92,False,0.5,0.2162162162162162
ADRB2,Asthma,respiratory,CHEMBL1095607,2.0,14.51,48.38,False,0.6,0.2972972972972973
PPARG,Asthma,respiratory,CHEMBL121,2.0,11.09,12.78,False,0.1,0.1621621621621621
ADRB2,Asthma,respiratory,CHEMBL160519,3.0,14.51,48.38,False,0.6,0.2972972972972973
IGHE,Asthma,respiratory,CHEMBL2109456,2.0,3.22,11.14,False,0.1,0.054054054054054
ADRB2,Asthma,respiratory,CHEMBL3039530,2.0,14.51,48.38,False,0.6,0.2972972972972973
PTGDR2,Asthma,respiratory,CHEMBL2386081,2.0,5.28,3.67,True,0.2,0.1081081081081081
PTGDR2,Asthma,respiratory,CHEMBL3137332,3.0,5.28,3.67,True,0.2,0.1081081081081081
MAPK14,Asthma,respiratory,CHEMBL9960,2.0,34.95,69.51,False,0.5,0.5405405405405406
PIK3CD,Asthma,respiratory,CHEMBL5314409,1.0,13.67,23.02,False,0.3,0.3243243243243243
IGHE,Asthma,respiratory,CHEMBL2109457,2.0,3.22,11.14,False,0.1,0.054054054054054
MAPK14,Asthma,respiratory,CHEMBL1938400,2.0,34.95,69.51,False,0.5,0.5405405405405406
HRH4,Asthma,respiratory,CHEMBL1915540,1.0,6.54,0.0,True,0.1,0.0
ADRB2,Asthma,respiratory,CHEMBL3916700,1.0,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,Asthma,respiratory,CHEMBL3916700,1.0,11.74,0.0,True,0.2,0.054054054054054
PTGDR2,Asthma,respiratory,CHEMBL3545031,2.0,5.28,3.67,True,0.2,0.1081081081081081
PTGDR2,Asthma,respiratory,CHEMBL3545343,2.0,5.28,3.67,True,0.2,0.1081081081081081
PTGDR2,Asthma,respiratory,CHEMBL1914489,2.0,5.28,3.67,True,0.2,0.1081081081081081
ADRB2,Asthma,respiratory,CHEMBL3545103,2.0,14.51,48.38,False,0.6,0.2972972972972973
ADORA1,Asthma,respiratory,CHEMBL3545162,2.0,0.0,198.31,False,0.0,0.2432432432432432
PTGDR2,Asthma,respiratory,CHEMBL2442750,2.0,5.28,3.67,True,0.2,0.1081081081081081
PTGDR2,Asthma,respiratory,CHEMBL560993,3.0,5.28,3.67,True,0.2,0.1081081081081081
CHRNA7,Asthma,respiratory,CHEMBL5314402,2.0,0.0,0.0,False,0.0,0.0
