disease,category,mol_id,max_phase,efo_term
Asthma,respiratory,CHEMBL2109042,3.0,asthma
Asthma,respiratory,CHEMBL2109070,1.0,asthma
Asthma,respiratory,CHEMBL1201431,2.0,asthma
Asthma,respiratory,CHEMBL2108429,4.0,asthma
Asthma,respiratory,CHEMBL1201599,3.0,asthma
Asthma,respiratory,CHEMBL2109159,2.0,asthma
Asthma,respiratory,CHEMBL2108465,0.5,asthma
Asthma,respiratory,CHEMBL2107884,4.0,asthma
Asthma,respiratory,CHEMBL2108119,2.0,asthma
Asthma,respiratory,CHEMBL2106633,1.0,asthma
Asthma,respiratory,CHEMBL2218893,2.0,asthma
Asthma,respiratory,CHEMBL249420,2.0,asthma
Asthma,respiratory,CHEMBL405821,2.0,asthma
Asthma,respiratory,CHEMBL2107792,2.0,asthma
Asthma,respiratory,CHEMBL1676,4.0,asthma
Asthma,respiratory,CHEMBL3989693,3.0,asthma
Asthma,respiratory,CHEMBL1201580,2.0,asthma
Asthma,respiratory,CHEMBL1201589,4.0,asthma
Asthma,respiratory,CHEMBL1201821,2.0,asthma
Asthma,respiratory,CHEMBL1201833,2.0,asthma
Asthma,respiratory,CHEMBL1742991,4.0,asthma
Asthma,respiratory,CHEMBL1743081,3.0,asthma
Asthma,respiratory,CHEMBL1201570,1.0,asthma
Asthma,respiratory,CHEMBL1201605,2.0,asthma
Asthma,respiratory,CHEMBL1201572,2.0,asthma
Asthma,respiratory,CHEMBL1201562,2.0,asthma
Asthma,respiratory,CHEMBL1201320,2.0,asthma
Asthma,respiratory,CHEMBL1201027,3.0,asthma
Asthma,respiratory,CHEMBL2109465,2.0,asthma
Asthma,respiratory,CHEMBL2109463,2.0,asthma
Asthma,respiratory,CHEMBL1743033,1.0,asthma
Asthma,respiratory,CHEMBL2108675,4.0,asthma
Asthma,respiratory,CHEMBL1095607,2.0,asthma
Asthma,respiratory,CHEMBL1363,2.0,asthma
Asthma,respiratory,CHEMBL1496,1.0,asthma
Asthma,respiratory,CHEMBL90,1.0,asthma
Asthma,respiratory,CHEMBL914,3.0,asthma
Asthma,respiratory,CHEMBL121,2.0,asthma
Asthma,respiratory,CHEMBL1201198,2.0,asthma
Asthma,respiratory,CHEMBL978,3.0,asthma
Asthma,respiratory,CHEMBL595,2.0,asthma
Asthma,respiratory,CHEMBL27,2.0,asthma
Asthma,respiratory,CHEMBL1760,3.0,asthma
Asthma,respiratory,CHEMBL1771,2.0,asthma
Asthma,respiratory,CHEMBL1201335,3.0,asthma
Asthma,respiratory,CHEMBL160519,3.0,asthma
Asthma,respiratory,CHEMBL1201772,2.0,asthma
Asthma,respiratory,CHEMBL787,4.0,asthma
Asthma,respiratory,CHEMBL314854,2.0,asthma
Asthma,respiratory,CHEMBL1256786,3.0,asthma
Asthma,respiratory,CHEMBL2021423,3.0,asthma
Asthma,respiratory,CHEMBL1200577,1.0,asthma
Asthma,respiratory,CHEMBL2109456,2.0,asthma
Asthma,respiratory,CHEMBL3039530,2.0,asthma
Asthma,respiratory,CHEMBL2386081,2.0,asthma
Asthma,respiratory,CHEMBL3039502,2.0,asthma
Asthma,respiratory,CHEMBL3137332,3.0,asthma
Asthma,respiratory,CHEMBL3301614,2.0,asthma
Asthma,respiratory,CHEMBL9960,2.0,asthma
Asthma,respiratory,CHEMBL5314409,1.0,asthma
Asthma,respiratory,CHEMBL2109457,2.0,asthma
Asthma,respiratory,CHEMBL1938400,2.0,asthma
Asthma,respiratory,CHEMBL1915540,1.0,asthma
Asthma,respiratory,CHEMBL3916700,1.0,asthma
Asthma,respiratory,CHEMBL3545031,2.0,asthma
Asthma,respiratory,CHEMBL3545343,2.0,asthma
Asthma,respiratory,CHEMBL1914489,2.0,asthma
Asthma,respiratory,CHEMBL3545103,2.0,asthma
Asthma,respiratory,CHEMBL3545162,2.0,asthma
Asthma,respiratory,CHEMBL2442750,2.0,asthma
Asthma,respiratory,CHEMBL560993,3.0,asthma
Asthma,respiratory,CHEMBL3716057,2.0,asthma
Asthma,respiratory,CHEMBL5314402,2.0,asthma
Asthma,respiratory,CHEMBL5314403,2.0,asthma
Asthma,respiratory,CHEMBL1908391,3.0,asthma
Asthma,respiratory,CHEMBL2170582,2.0,asthma
Asthma,respiratory,CHEMBL3707229,4.0,asthma
Asthma,respiratory,CHEMBL3707325,2.0,asthma
Asthma,respiratory,CHEMBL3707249,2.0,asthma
Asthma,respiratory,CHEMBL269732,2.0,asthma
Asthma,respiratory,CHEMBL3989910,2.0,asthma
Asthma,respiratory,CHEMBL3990029,2.0,asthma
Asthma,respiratory,CHEMBL140,2.0,asthma
Asthma,respiratory,CHEMBL444814,2.0,asthma
Asthma,respiratory,CHEMBL1644698,2.0,asthma
Asthma,respiratory,CHEMBL467058,1.0,asthma
Asthma,respiratory,CHEMBL1738699,1.0,asthma
Asthma,respiratory,CHEMBL346919,1.0,asthma
Asthma,respiratory,CHEMBL267476,1.0,asthma
Asthma,respiratory,CHEMBL408701,1.0,asthma
Asthma,respiratory,CHEMBL2151591,2.0,asthma
Asthma,respiratory,CHEMBL2178575,1.0,asthma
Asthma,respiratory,CHEMBL570015,2.0,asthma
Asthma,respiratory,CHEMBL114551,1.0,asthma
Asthma,respiratory,CHEMBL181886,1.0,asthma
Asthma,respiratory,CHEMBL7890,2.0,asthma
Asthma,respiratory,CHEMBL523367,2.0,asthma
Asthma,respiratory,CHEMBL1240967,2.0,asthma
Asthma,respiratory,CHEMBL2062774,2.0,asthma
Asthma,respiratory,CHEMBL4297320,2.0,asthma
Asthma,respiratory,CHEMBL4072756,2.0,asthma
Asthma,respiratory,CHEMBL551813,2.0,asthma
Asthma,respiratory,CHEMBL3113974,2.0,asthma
Asthma,respiratory,CHEMBL4297388,2.0,asthma
Asthma,respiratory,CHEMBL4297416,2.0,asthma
Asthma,respiratory,CHEMBL561371,2.0,asthma
Asthma,respiratory,CHEMBL4297492,2.0,asthma
Asthma,respiratory,CHEMBL4297520,2.0,asthma
Asthma,respiratory,CHEMBL4297527,2.0,asthma
Asthma,respiratory,CHEMBL4297657,3.0,asthma
Asthma,respiratory,CHEMBL4297580,2.0,asthma
Asthma,respiratory,CHEMBL4297812,2.0,asthma
Asthma,respiratory,CHEMBL4297864,1.0,asthma
Asthma,respiratory,CHEMBL4297926,2.0,asthma
Asthma,respiratory,CHEMBL4297970,2.0,asthma
Asthma,respiratory,CHEMBL4594287,2.0,asthma
Asthma,respiratory,CHEMBL3666807,2.0,asthma
Asthma,respiratory,CHEMBL4594477,1.0,asthma
Asthma,respiratory,CHEMBL4594569,2.0,asthma
Asthma,respiratory,CHEMBL3702854,2.0,asthma
Asthma,respiratory,CHEMBL4594594,2.0,asthma
Asthma,respiratory,CHEMBL4594385,2.0,asthma
Asthma,respiratory,CHEMBL4650469,3.0,asthma
Asthma,respiratory,CHEMBL4650490,2.0,asthma
Asthma,respiratory,CHEMBL2397415,1.0,asthma
Asthma,respiratory,CHEMBL4802198,2.0,asthma
Asthma,respiratory,CHEMBL4558527,2.0,asthma
Asthma,respiratory,CHEMBL3236549,2.0,asthma
Asthma,respiratory,CHEMBL5095324,2.0,asthma
Asthma,respiratory,CHEMBL5095371,2.0,asthma
Asthma,respiratory,CHEMBL2105687,3.0,asthma
Asthma,respiratory,CHEMBL1149,3.0,asthma
Asthma,respiratory,CHEMBL857,3.0,asthma
Asthma,respiratory,CHEMBL2146102,4.0,asthma
Asthma,respiratory,CHEMBL4297483,1.0,asthma
Asthma,respiratory,CHEMBL4650222,1.0,asthma
Asthma,respiratory,CHEMBL5095079,2.0,asthma
Asthma,respiratory,CHEMBL3597634,2.0,asthma
Asthma,respiratory,CHEMBL5315002,1.0,asthma
Asthma,respiratory,CHEMBL2103864,2.0,asthma
Asthma,respiratory,CHEMBL1487,2.0,asthma
Asthma,respiratory,CHEMBL1900528,3.0,asthma
Asthma,respiratory,CHEMBL3833369,3.0,asthma
Asthma,respiratory,CHEMBL5314499,1.0,asthma
Asthma,respiratory,CHEMBL5314717,2.0,asthma
Asthma,respiratory,CHEMBL5314733,2.0,asthma
Asthma,respiratory,CHEMBL6068013,1.0,asthma
Asthma,respiratory,CHEMBL1201396,3.0,asthma
Asthma,respiratory,CHEMBL6068104,1.0,asthma
Asthma,respiratory,CHEMBL6068152,2.0,asthma
Asthma,respiratory,CHEMBL6068528,2.0,asthma
Asthma,respiratory,CHEMBL3961833,1.0,asthma
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL551466,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL714,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1441059,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1951071,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1370,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1473,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201027,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1789842,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2134724,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL503,2.0,chronic obstructive pulmonary disease
