gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
JAK1,12.81,85.48,2,17,2.0,10.0,2.0,11.0,0.2,0.2972972972972973,False,-0.5492457504845378,approved
PTGER3,0.0,0.0,0,4,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other
PTGFR,4.37,55.4,2,13,2.0,6.0,2.0,6.0,0.2,0.1621621621621621,False,0.2866212261514095,other
S1PR1,6.26,29.35,4,19,4.0,12.0,4.0,10.0,0.4,0.2702702702702703,False,0.5488051914338078,approved
CSF1,6.09,118.48,2,15,2.0,10.0,2.0,7.0,0.2,0.1891891891891892,False,0.0762499793126403,other
ADORA3,43.73,24.52,5,12,5.0,8.0,4.0,8.0,0.4,0.2162162162162162,True,0.8579215576966897,other
CD2,0.0,12.29,0,2,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other
SV2A,15.41,9.71,3,4,3.0,4.0,3.0,4.0,0.3,0.1081081081081081,True,1.3921602065152263,other
NPR1,3.93,2.99,1,5,1.0,4.0,1.0,5.0,0.1,0.1351351351351351,True,-0.3998932937191657,other
IL6R,99.59,82.9,7,20,7.0,15.0,5.0,14.0,0.5,0.3783783783783784,True,0.3930343611431088,approved
FDPS,31.62,28.96,5,25,5.0,20.0,4.0,16.0,0.4,0.4324324324324324,True,-0.1098332362271199,other
NTRK1,10.46,79.17,4,9,4.0,8.0,4.0,9.0,0.4,0.2432432432432432,False,0.6951001325878468,other
DDR2,0.0,0.0,0,3,0.0,2.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other
TNFSF4,3.38,22.64,5,37,5.0,18.0,5.0,20.0,0.5,0.5405405405405406,False,-0.1103515573654427,other
SERPINC1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,other
PTGS2,6.62,3.24,2,4,2.0,4.0,2.0,7.0,0.2,0.1891891891891892,True,0.0762499793126403,other
PLA2G4A,4.45,0.0,1,2,1.0,2.0,1.0,2.0,0.1,0.054054054054054,True,0.780141735367988,other
ADORA1,0.0,198.31,0,15,0.0,9.0,0.0,9.0,0.0,0.2432432432432432,False,-4.662451872030237,other
REN,216.9,21.99,5,4,3.0,3.0,2.0,3.0,0.2,0.081081081081081,True,1.2051660072258517,other
IL20,0.0,30.05,0,14,0.0,8.0,0.0,6.0,0.0,0.1621621621621621,False,-4.105696196627351,other
PARP1,16.52,53.71,2,20,2.0,15.0,2.0,16.0,0.2,0.4324324324324324,False,-1.0750678180664432,other
CHRM3,11.74,0.0,2,2,2.0,2.0,2.0,2.0,0.2,0.054054054054054,True,1.7130275395094512,other
NLRP3,55.77,33.38,4,9,3.0,7.0,2.0,6.0,0.2,0.1621621621621621,True,0.2866212261514095,ongoing
ADAM17,18.4,195.86,5,24,5.0,15.0,4.0,18.0,0.4,0.4864864864864865,False,-0.276130540864316,other
ROCK2,10.49,58.06,5,19,5.0,10.0,5.0,16.0,0.5,0.4324324324324324,False,0.2050401011262917,other
DNMT3A,5.6,69.5,3,10,3.0,7.0,3.0,11.0,0.3,0.2972972972972973,False,0.0126331371235769,other
ALK,0.0,4.75,1,5,1.0,5.0,1.0,5.0,0.1,0.1351351351351351,False,-0.3998932937191657,other
XDH,0.0,8.12,0,8,0.0,7.0,0.0,6.0,0.0,0.1621621621621621,False,-4.105696196627351,other
XPO1,31.53,133.51,5,31,5.0,20.0,4.0,22.0,0.4,0.5945945945945946,False,-0.5603441708120853,other
TACR1,0.0,0.0,0,6,0.0,5.0,0.0,7.0,0.0,0.1891891891891892,False,-4.31606744346612,other
IL1R1,5.72,333.19,2,41,2.0,22.0,2.0,24.0,0.2,0.6486486486486487,False,-1.6491197473156307,other
IL1A,75.78,18.7,1,5,1.0,3.0,1.0,2.0,0.1,0.054054054054054,True,0.780141735367988,other
IL1B,10.2,45.09,3,18,3.0,10.0,3.0,10.0,0.3,0.2702702702702703,False,0.1454494972025992,approved
CXCR4,27.15,141.98,1,32,1.0,17.0,1.0,18.0,0.1,0.4864864864864865,False,-2.1742509268451022,other
NFE2L2,14.76,71.59,4,24,4.0,16.0,4.0,14.0,0.4,0.3783783783783784,False,0.0781610237896969,other
CALCRL,6.77,0.0,2,3,2.0,3.0,2.0,3.0,0.2,0.081081081081081,True,1.2051660072258517,other
CD28,0.0,54.88,0,4,0.0,4.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,other
CTLA4,0.0,27.22,0,1,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,approved
PIKFYVE,32.2,33.04,4,17,4.0,11.0,4.0,17.0,0.4,0.4594594594594595,False,-0.1953766684633593,other
FN1,18.98,27.15,2,16,2.0,8.0,2.0,11.0,0.2,0.2972972972972973,False,-0.5492457504845378,other
CXCR2,69.42,8.12,2,2,2.0,2.0,1.0,2.0,0.1,0.054054054054054,True,0.780141735367988,other
CXCR1,4.96,0.0,1,2,1.0,2.0,1.0,2.0,0.1,0.054054054054054,True,0.780141735367988,other
INPP5D,179.9,33.08,7,7,6.0,7.0,4.0,7.0,0.4,0.1891891891891892,True,1.041484561151964,other
PDCD1,0.0,76.52,0,12,0.0,9.0,0.0,9.0,0.0,0.2432432432432432,False,-4.662451872030237,approved
IL5RA,20.35,61.24,2,16,2.0,11.0,2.0,14.0,0.2,0.3783783783783784,False,-0.8870735580496263,other
HRH1,140.89,65.51,8,25,6.0,16.0,4.0,16.0,0.4,0.4324324324324324,True,-0.1098332362271199,other
