gene,disease,category,phase,mol_status,mol_id,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL514201,34.95,69.51,False,0.5,0.5405405405405406
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1743054,36.86,19.49,True,0.1,0.1081081081081081
KIT,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1908391,21.29,137.44,False,0.3,0.3513513513513513
FGFR3,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1908391,21.59,21.82,False,0.1,0.1081081081081081
LTA,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1743056,27.76,19.49,True,0.1,0.1081081081081081
IL1B,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1743026,10.2,45.09,False,0.3,0.2702702702702703
IL22,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1743017,0.0,0.0,False,0.0,0.0
CD4,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1743083,0.0,0.0,False,0.0,0.027027027027027
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3301600,209.73,65.13,True,0.4,0.2432432432432432
NR3C1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3137316,56.91,9.43,True,0.2,0.1891891891891892
TNFSF13,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1742986,15.47,48.73,False,0.5,0.5405405405405406
TNFSF13B,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1742986,0.0,0.0,False,0.0,0.0
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1230065,34.95,69.51,False,0.5,0.5405405405405406
IL6,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL2108589,3.51,56.98,False,0.2,0.1891891891891892
CD19,"Arthritis, Rheumatoid",autoimmune,1.0,failed,CHEMBL2109337,83.95,15.34,True,0.1,0.2702702702702703
CSF2,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1743044,20.08,203.2,False,0.2,0.1351351351351351
P2RX7,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3545108,9.05,13.8,False,0.2,0.2972972972972973
CCR5,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1951914,19.46,0.0,True,0.1,0.0
MAPKAPK5,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL5095028,12.14,67.51,False,0.3,0.5135135135135135
JAK1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3545225,12.81,85.48,False,0.2,0.2972972972972973
IL1R1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL2109458,5.72,333.19,False,0.2,0.6486486486486487
CSF2,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL2109433,20.08,203.2,False,0.2,0.1351351351351351
CSF1R,"Arthritis, Rheumatoid",autoimmune,1.0,failed,CHEMBL3639728,7.53,84.26,False,0.2,0.1351351351351351
P2RX7,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1823817,9.05,13.8,False,0.2,0.2972972972972973
JAK2,"Arthritis, Rheumatoid",autoimmune,1.0,failed,CHEMBL3545241,21.27,62.01,False,0.2,0.2432432432432432
CSF1R,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3674570,7.53,84.26,False,0.2,0.1351351351351351
MMP9,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3833374,11.54,71.71,False,0.2,0.2162162162162162
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3545398,34.95,69.51,False,0.5,0.5405405405405406
CCR1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4444976,68.06,18.84,True,0.2,0.054054054054054
HRH4,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3301609,6.54,0.0,True,0.1,0.0
TNFSF14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1742988,35.06,90.67,False,0.2,0.4054054054054054
MAPK11,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1088752,4.16,27.38,False,0.4,0.4054054054054054
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1088752,34.95,69.51,False,0.5,0.5405405405405406
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL2103838,34.95,69.51,False,0.5,0.5405405405405406
PPIA,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL160,17.44,7.85,True,0.5,0.4324324324324324
LTB4R,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1742420,157.15,54.63,True,0.4,0.1621621621621621
PTGS2,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL404108,6.62,3.24,True,0.2,0.1891891891891892
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL650,56.91,9.43,True,0.2,0.1891891891891892
ALOX5,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL421,3.77,14.06,False,0.1,0.1081081081081081
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL103667,34.95,69.51,False,0.5,0.5405405405405406
IFNG,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL2108459,0.0,2.58,False,0.0,0.1351351351351351
MMP13,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL206815,0.0,13.01,False,0.1,0.1621621621621621
ADAM17,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL206815,18.4,195.86,False,0.4,0.4864864864864865
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1743057,36.86,19.49,True,0.1,0.1081081081081081
IL15,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL2109467,31.5,27.81,True,0.5,0.2972972972972973
PPARG,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL121,11.09,12.78,False,0.1,0.1621621621621621
CXCL10,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL2109664,5.29,21.93,False,0.1,0.081081081081081
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL363648,34.95,69.51,False,0.5,0.5405405405405406
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1090090,34.95,69.51,False,0.5,0.5405405405405406
JAK1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3622820,12.81,85.48,False,0.2,0.2972972972972973
JAK2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL5315119,21.27,62.01,False,0.2,0.2432432432432432
JAK1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL5315119,12.81,85.48,False,0.2,0.2972972972972973
TYK2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL5315119,20.2,73.07,False,0.3,0.3783783783783784
JAK3,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL5315119,10.18,31.66,False,0.1,0.2162162162162162
CSF2,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3707325,20.08,203.2,False,0.2,0.1351351351351351
TLR9,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1690,9.84,44.51,False,0.1,0.1621621621621621
TLR7,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1690,0.0,3.51,False,0.1,0.027027027027027
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1364144,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201081,56.91,9.43,True,0.2,0.1891891891891892
HRH2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL902,26.08,45.03,False,0.1,0.081081081081081
MIF,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL2107455,25.0,20.4,True,0.2,0.2972972972972973
TRAF3IP2,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL2107455,7.8,151.92,False,0.3,0.4594594594594595
PTGS2,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL2107455,6.62,3.24,True,0.2,0.1891891891891892
IL20,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3301580,0.0,30.05,False,0.0,0.1621621621621621
ADORA3,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL3989873,43.73,24.52,True,0.4,0.2162162162162162
IL6R,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3833343,99.59,82.9,True,0.5,0.3783783783783784
GNRHR,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3989969,0.0,0.0,False,0.0,0.027027027027027
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4072833,209.73,65.13,True,0.4,0.2432432432432432
NOS2,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL114551,4.35,0.0,True,0.2,0.1621621621621621
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3900554,209.73,65.13,True,0.4,0.2432432432432432
IRAK4,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4081711,51.38,19.32,True,0.4,0.2702702702702703
PTGS2,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL364804,6.62,3.24,True,0.2,0.1891891891891892
CCR1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3334824,68.06,18.84,True,0.2,0.054054054054054
PTGER4,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL6067994,14.13,27.15,False,0.4,0.3783783783783784
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4065122,209.73,65.13,True,0.4,0.2432432432432432
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4163691,209.73,65.13,True,0.4,0.2432432432432432
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4297572,36.86,19.49,True,0.1,0.1081081081081081
NR3C1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4297572,56.91,9.43,True,0.2,0.1891891891891892
MS4A1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4297845,0.0,8.92,False,0.0,0.1351351351351351
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4297863,36.86,19.49,True,0.1,0.1081081081081081
IL17A,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4297863,0.0,0.0,False,0.0,0.0
CX3CL1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4297942,10.89,25.81,False,0.1,0.1891891891891892
PIKFYVE,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL6067997,32.2,33.04,False,0.4,0.4594594594594595
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL93645,6.62,3.24,True,0.2,0.1891891891891892
CCR2,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3305901,7.74,6.95,True,0.1,0.2162162162162162
DHODH,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL197194,19.91,36.24,False,0.2,0.2432432432432432
CD40LG,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4594331,0.0,0.0,False,0.0,0.0
IL6R,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL4650406,99.59,82.9,True,0.5,0.3783783783783784
ALOX5,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1562610,3.77,14.06,False,0.1,0.1081081081081081
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1070,6.62,3.24,True,0.2,0.1891891891891892
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1504,56.91,9.43,True,0.2,0.1891891891891892
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4594348,209.73,65.13,True,0.4,0.2432432432432432
OPRD1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL494480,0.0,24.67,False,0.0,0.081081081081081
RIPK1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4071864,18.79,171.22,False,0.5,0.3783783783783784
FCGRT,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL4594310,8.46,0.0,True,0.2,0.1891891891891892
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL389621,56.91,9.43,True,0.2,0.1891891891891892
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL865,6.62,3.24,True,0.2,0.1891891891891892
DHFR,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL3244648,33.89,42.56,False,0.6,0.3513513513513513
JAK2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL4298167,21.27,62.01,False,0.2,0.2432432432432432
JAK1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL4298167,12.81,85.48,False,0.2,0.2972972972972973
TYK2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL4298167,20.2,73.07,False,0.3,0.3783783783783784
JAK3,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL4298167,10.18,31.66,False,0.1,0.2162162162162162
TNFSF13,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL1742986,15.47,48.73,False,0.5,0.5405405405405406
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL1742986,0.0,0.0,False,0.0,0.0
HSPA8,"Lupus Erythematosus, Systemic",autoimmune,3.0,failed,CHEMBL3989801,97.0,245.0,False,0.7,0.6757
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,3.0,failed,CHEMBL1743075,0.0,0.0,False,0.0,0.0
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,3.0,failed,CHEMBL2107877,0.0,0.0,False,0.0,0.0
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,approved,CHEMBL1650,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,approved,CHEMBL2021430,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,approved,CHEMBL384467,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,approved,CHEMBL635,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,approved,CHEMBL131,56.91,9.43,True,0.2,0.1891891891891892
CD22,"Lupus Erythematosus, Systemic",autoimmune,3.0,failed,CHEMBL2108404,0.0,231.0,False,0.0,0.5676
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,4.0,approved,CHEMBL1789843,0.0,0.0,False,0.0,0.0
IL6,"Lupus Erythematosus, Systemic",autoimmune,1.0,failed,CHEMBL2109615,3.51,56.98,False,0.2,0.1891891891891892
CD28,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL2109250,0.0,54.88,False,0.0,0.1081081081081081
ICOS,"Lupus Erythematosus, Systemic",autoimmune,1.0,failed,CHEMBL2109449,0.0,11.0,False,0.0,0.027
IFNAR1,"Lupus Erythematosus, Systemic",autoimmune,4.0,approved,CHEMBL2364653,18.05,43.92,False,0.3,0.2432432432432432
JAK1,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL3301606,12.81,85.48,False,0.2,0.2972972972972973
SYK,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL3545159,55.92,6.88,True,0.4,0.2432432432432432
JAK3,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL3545159,10.18,31.66,False,0.1,0.2162162162162162
BTK,"Lupus Erythematosus, Systemic",autoimmune,1.0,failed,CHEMBL3545193,209.73,65.13,True,0.4,0.2432432432432432
IL6R,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL3833343,99.59,82.9,True,0.5,0.3783783783783784
CD40LG,"Lupus Erythematosus, Systemic",autoimmune,3.0,failed,CHEMBL2109478,0.0,0.0,False,0.0,0.0
CLEC4C,"Lupus Erythematosus, Systemic",autoimmune,3.0,failed,CHEMBL3833308,0.0,11.0,False,0.0,0.027
BTK,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4072833,209.73,65.13,True,0.4,0.2432432432432432
JAK1,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4297477,12.81,85.48,False,0.2,0.2972972972972973
TYK2,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4297477,20.2,73.07,False,0.3,0.3783783783783784
S1PR1,"Lupus Erythematosus, Systemic",autoimmune,3.0,failed,CHEMBL4297505,6.26,29.35,False,0.4,0.2702702702702703
BTK,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4065122,209.73,65.13,True,0.4,0.2432432432432432
IFNB1,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4297808,0.0,35.0,False,0.0,0.1351
CD19,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4298134,83.95,15.34,True,0.1,0.2702702702702703
FCGR2B,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4298134,0.0,0.0,False,0.0,0.0
SYK,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL3986824,55.92,6.88,True,0.4,0.2432432432432432
LILRA4,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4594330,0.0,22.0,False,0.0,0.0541
BTK,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4594348,209.73,65.13,True,0.4,0.2432432432432432
BTK,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4650321,209.73,65.13,True,0.4,0.2432432432432432
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4650245,0.0,0.0,False,0.0,0.0
ICOS,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4650245,0.0,11.0,False,0.0,0.027
TLR7,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4802159,0.0,3.51,False,0.1,0.027027027027027
TLR8,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL4802159,0.0,0.0,False,0.0,0.054054054054054
CD28,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL3137354,0.0,54.88,False,0.0,0.1081081081081081
IL6,"Lupus Erythematosus, Systemic",autoimmune,2.0,failed,CHEMBL6068160,3.51,56.98,False,0.2,0.1891891891891892
TNF,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL1201580,36.86,19.49,True,0.1,0.1081081081081081
PTGS2,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL118,6.62,3.24,True,0.2,0.1891891891891892
TNF,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL1201572,36.86,19.49,True,0.1,0.1081081081081081
TNF,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL1201581,36.86,19.49,True,0.1,0.1081081081081081
IL17A,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL1743068,0.0,0.0,False,0.0,0.0
TNF,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL1201833,36.86,19.49,True,0.1,0.1081081081081081
TNF,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL1201831,36.86,19.49,True,0.1,0.1081081081081081
NR3C1,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL2021430,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL635,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL131,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Spondylitis, Ankylosing",autoimmune,4.0,approved,CHEMBL384467,56.91,9.43,True,0.2,0.1891891891891892
MAPK14,"Spondylitis, Ankylosing",autoimmune,2.0,failed,CHEMBL1088750,34.95,69.51,False,0.5,0.5405405405405406
CSF2,"Spondylitis, Ankylosing",autoimmune,2.0,failed,CHEMBL1743044,20.08,203.2,False,0.2,0.1351351351351351
IL17A,"Spondylitis, Ankylosing",autoimmune,2.0,failed,CHEMBL4298102,0.0,0.0,False,0.0,0.0
IL17A,"Spondylitis, Ankylosing",autoimmune,2.0,failed,CHEMBL4297686,0.0,0.0,False,0.0,0.0
TNFSF13,Multiple Sclerosis,autoimmune,2.0,failed,CHEMBL1742986,15.47,48.73,False,0.5,0.5405405405405406
TNFSF13B,Multiple Sclerosis,autoimmune,2.0,failed,CHEMBL1742986,0.0,0.0,False,0.0,0.0
PGR,Multiple Sclerosis,autoimmune,3.0,failed,CHEMBL1476022,6.14,0.0,True,0.1,0.1621621621621621
MS4A1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL1201836,0.0,8.92,False,0.0,0.1351351351351351
DHODH,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL973,19.91,36.24,False,0.2,0.2432432432432432
NR3C1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL384467,56.91,9.43,True,0.2,0.1891891891891892
ADRB2,Multiple Sclerosis,autoimmune,1.0,failed,CHEMBL559180,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL1201081,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL650,56.91,9.43,True,0.2,0.1891891891891892
TOP2A,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL1417019,7.79,94.71,False,0.1,0.2702702702702703
NR3C1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL1152,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL1201014,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL635,56.91,9.43,True,0.2,0.1891891891891892
HRH1,Multiple Sclerosis,autoimmune,3.0,failed,CHEMBL17157,140.89,65.51,True,0.4,0.4324324324324324
RYR3,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL928,0.0,22.0,False,0.0,0.0541
RYR1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL928,0.0,47.0,False,0.0,0.1892
NR3C1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL131,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL1504,56.91,9.43,True,0.2,0.1891891891891892
KEAP1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL2107333,17.93,41.8,False,0.6,0.4594594594594595
MS4A1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL2108041,0.0,8.92,False,0.0,0.1351351351351351
CD52,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL1201587,9.65,0.0,True,0.2,0.1891891891891892
MC2R,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL1201610,0.0,111.82,False,0.0,0.1081081081081081
LINGO1,Multiple Sclerosis,autoimmune,2.0,failed,CHEMBL3544922,11.0,23.0,False,0.1,0.0811
KIT,Multiple Sclerosis,autoimmune,3.0,failed,CHEMBL1908391,21.29,137.44,False,0.3,0.3513513513513513
FGFR3,Multiple Sclerosis,autoimmune,3.0,failed,CHEMBL1908391,21.59,21.82,False,0.1,0.1081081081081081
S1PR1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL2336071,6.26,29.35,False,0.4,0.2702702702702703
CCR2,Multiple Sclerosis,autoimmune,2.0,failed,CHEMBL3707228,7.74,6.95,True,0.1,0.2162162162162162
S1PR1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL3707246,6.26,29.35,False,0.4,0.2702702702702703
S1PR1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL1096146,6.26,29.35,False,0.4,0.2702702702702703
KEAP1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL3989944,17.93,41.8,False,0.6,0.4594594594594595
BTK,Multiple Sclerosis,autoimmune,3.0,failed,CHEMBL4072833,209.73,65.13,True,0.4,0.2432432432432432
ITGA4,Multiple Sclerosis,autoimmune,2.0,failed,CHEMBL4297363,42.0,67.0,False,0.2,0.1892
BTK,Multiple Sclerosis,autoimmune,3.0,failed,CHEMBL4065122,209.73,65.13,True,0.4,0.2432432432432432
DHODH,Multiple Sclerosis,autoimmune,3.0,failed,CHEMBL197194,19.91,36.24,False,0.2,0.2432432432432432
RGMA,Multiple Sclerosis,autoimmune,2.0,failed,CHEMBL4297743,0.0,58.0,False,0.0,0.2162
S1PR1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL4298150,6.26,29.35,False,0.4,0.2702702702702703
KEAP1,Multiple Sclerosis,autoimmune,4.0,approved,CHEMBL589586,17.93,41.8,False,0.6,0.4594594594594595
ERVW-1,Multiple Sclerosis,autoimmune,2.0,failed,CHEMBL4594547,0.0,0.0,False,0.0,0.0
TNFRSF13C,Multiple Sclerosis,autoimmune,2.0,failed,CHEMBL4594357,0.0,104.09,False,0.1,0.2162162162162162
BTK,Multiple Sclerosis,autoimmune,3.0,failed,CHEMBL4650323,209.73,65.13,True,0.4,0.2432432432432432
NR3C1,Dermatomyositis,autoimmune,4.0,approved,CHEMBL131,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Dermatomyositis,autoimmune,4.0,approved,CHEMBL635,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,Dermatomyositis,autoimmune,4.0,approved,CHEMBL1650,56.91,9.43,True,0.2,0.1891891891891892
IFNB1,Dermatomyositis,autoimmune,2.0,failed,CHEMBL4297808,0.0,35.0,False,0.0,0.1351
TLR9,Dermatomyositis,autoimmune,2.0,failed,CHEMBL4297995,9.84,44.51,False,0.1,0.1621621621621621
TLR8,Dermatomyositis,autoimmune,2.0,failed,CHEMBL4297995,0.0,0.0,False,0.0,0.054054054054054
TLR7,Dermatomyositis,autoimmune,2.0,failed,CHEMBL4297995,0.0,3.51,False,0.1,0.027027027027027
JAK1,Dermatomyositis,autoimmune,3.0,failed,CHEMBL4297477,12.81,85.48,False,0.2,0.2972972972972973
TYK2,Dermatomyositis,autoimmune,3.0,failed,CHEMBL4297477,20.2,73.07,False,0.3,0.3783783783783784
TLR7,Dermatomyositis,autoimmune,2.0,failed,CHEMBL4802159,0.0,3.51,False,0.1,0.027027027027027
TLR8,Dermatomyositis,autoimmune,2.0,failed,CHEMBL4802159,0.0,0.0,False,0.0,0.054054054054054
FKBP1A,"Dermatitis, Atopic",skin,4.0,approved,CHEMBL1200686,10.99,52.01,False,0.2,0.3243243243243243
NR3C1,"Dermatitis, Atopic",skin,4.0,approved,CHEMBL1201109,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Dermatitis, Atopic",skin,4.0,approved,CHEMBL131,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Dermatitis, Atopic",skin,4.0,approved,CHEMBL1650,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Dermatitis, Atopic",skin,4.0,approved,CHEMBL635,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Dermatitis, Atopic",skin,4.0,approved,CHEMBL384467,56.91,9.43,True,0.2,0.1891891891891892
