gene,disease,category,phase,mol_status,mol_id,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
PPARG,Asthma,respiratory,2.0,failed,CHEMBL121,11.09,12.78,False,0.1,0.1621621621621621
ADRB2,Asthma,respiratory,3.0,failed,CHEMBL160519,14.51,48.38,False,0.6,0.2972972972972973
IGHE,Asthma,respiratory,2.0,failed,CHEMBL2109456,3.22,11.14,False,0.1,0.054054054054054
ADRB2,Asthma,respiratory,2.0,failed,CHEMBL3039530,14.51,48.38,False,0.6,0.2972972972972973
PTGDR2,Asthma,respiratory,2.0,failed,CHEMBL2386081,5.28,3.67,True,0.2,0.1081081081081081
PTGDR2,Asthma,respiratory,3.0,failed,CHEMBL3137332,5.28,3.67,True,0.2,0.1081081081081081
MAPK14,Asthma,respiratory,2.0,failed,CHEMBL9960,34.95,69.51,False,0.5,0.5405405405405406
IGHE,Asthma,respiratory,2.0,failed,CHEMBL2109457,3.22,11.14,False,0.1,0.054054054054054
MAPK14,Asthma,respiratory,2.0,failed,CHEMBL1938400,34.95,69.51,False,0.5,0.5405405405405406
ADRB2,Asthma,respiratory,1.0,failed,CHEMBL3916700,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,Asthma,respiratory,1.0,failed,CHEMBL3916700,11.74,0.0,True,0.2,0.054054054054054
PTGDR2,Asthma,respiratory,2.0,failed,CHEMBL3545031,5.28,3.67,True,0.2,0.1081081081081081
PTGDR2,Asthma,respiratory,2.0,failed,CHEMBL3545343,5.28,3.67,True,0.2,0.1081081081081081
PTGDR2,Asthma,respiratory,2.0,failed,CHEMBL1914489,5.28,3.67,True,0.2,0.1081081081081081
ADRB2,Asthma,respiratory,2.0,failed,CHEMBL3545103,14.51,48.38,False,0.6,0.2972972972972973
ADORA1,Asthma,respiratory,2.0,failed,CHEMBL3545162,0.0,198.31,False,0.0,0.2432432432432432
PTGDR2,Asthma,respiratory,2.0,failed,CHEMBL2442750,5.28,3.67,True,0.2,0.1081081081081081
PTGDR2,Asthma,respiratory,3.0,failed,CHEMBL560993,5.28,3.67,True,0.2,0.1081081081081081
CHRNA7,Asthma,respiratory,2.0,failed,CHEMBL5314402,0.0,0.0,False,0.0,0.0
PTGDR2,Asthma,respiratory,2.0,failed,CHEMBL5314403,5.28,3.67,True,0.2,0.1081081081081081
KIT,Asthma,respiratory,3.0,failed,CHEMBL1908391,21.29,137.44,False,0.3,0.3513513513513513
FGFR3,Asthma,respiratory,3.0,failed,CHEMBL1908391,21.59,21.82,False,0.1,0.1081081081081081
SYK,Asthma,respiratory,2.0,failed,CHEMBL2170582,55.92,6.88,True,0.4,0.2432432432432432
TSLP,Asthma,respiratory,4.0,approved,CHEMBL3707229,23.96,3.11,True,0.2,0.1351351351351351
CSF2,Asthma,respiratory,2.0,failed,CHEMBL3707325,20.08,203.2,False,0.2,0.1351351351351351
CHRM1,Asthma,respiratory,2.0,failed,CHEMBL3707249,0.0,43.55,False,0.0,0.2432432432432432
CHRM2,Asthma,respiratory,2.0,failed,CHEMBL3707249,0.0,3.5,False,0.0,0.081081081081081
CHRNA7,Asthma,respiratory,2.0,failed,CHEMBL3707249,0.0,0.0,False,0.0,0.0
CHRM3,Asthma,respiratory,2.0,failed,CHEMBL3707249,11.74,0.0,True,0.2,0.054054054054054
ADH5,Asthma,respiratory,2.0,failed,CHEMBL3989910,48.36,80.42,False,0.1,0.3783783783783784
ADRB2,Asthma,respiratory,2.0,failed,CHEMBL1240967,14.51,48.38,False,0.6,0.2972972972972973
NPR1,Asthma,respiratory,2.0,failed,CHEMBL4297320,3.93,2.99,True,0.1,0.1351351351351351
NR3C1,Asthma,respiratory,2.0,failed,CHEMBL4072756,56.91,9.43,True,0.2,0.1891891891891892
PTGDR2,Asthma,respiratory,2.0,failed,CHEMBL551813,5.28,3.67,True,0.2,0.1081081081081081
ALOX5,Asthma,respiratory,2.0,failed,CHEMBL4297416,3.77,14.06,False,0.1,0.1081081081081081
TLR7,Asthma,respiratory,2.0,failed,CHEMBL4297492,0.0,3.51,False,0.1,0.027027027027027
IL33,Asthma,respiratory,2.0,failed,CHEMBL4297580,0.0,3.73,False,0.0,0.054054054054054
IL17A,Asthma,respiratory,2.0,failed,CHEMBL4297926,0.0,0.0,False,0.0,0.0
NR3C1,Asthma,respiratory,2.0,failed,CHEMBL3666807,56.91,9.43,True,0.2,0.1891891891891892
TNFSF4,Asthma,respiratory,2.0,failed,CHEMBL4594569,3.38,22.64,False,0.5,0.5405405405405406
BTK,Asthma,respiratory,2.0,failed,CHEMBL3702854,209.73,65.13,True,0.4,0.2432432432432432
IL33,Asthma,respiratory,2.0,failed,CHEMBL4594594,0.0,3.73,False,0.0,0.054054054054054
IL5,Asthma,respiratory,3.0,failed,CHEMBL4650469,6.02,123.29,False,0.3,0.4054054054054054
TNFSF14,Asthma,respiratory,2.0,failed,CHEMBL4802198,35.06,90.67,False,0.2,0.4054054054054054
CXCR1,Asthma,respiratory,2.0,failed,CHEMBL2103864,4.96,0.0,True,0.1,0.054054054054054
CXCR2,Asthma,respiratory,2.0,failed,CHEMBL2103864,69.42,8.12,True,0.1,0.054054054054054
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL551466,11.74,0.0,True,0.2,0.054054054054054
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL714,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1441059,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1951071,14.51,48.38,False,0.6,0.2972972972972973
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,approved,CHEMBL1370,56.91,9.43,True,0.2,0.1891891891891892
