gene,max_phase,n_drugs,p1,p2,p3,approved,n_diseases
SLC12A1,4,2,0,0,0,2,2
SNAP25,4,1,0,0,0,1,1
PTGFR,4,5,0,0,0,5,1
CA2,4,5,0,0,0,5,2
VEGFA,4,4,0,0,1,3,2
ADRA1A,4,1,0,0,0,1,1
CA7,4,1,0,0,0,1,1
CA1,4,3,0,0,0,3,3
CA4,4,3,0,0,0,3,2
PTGER2,4,1,0,0,0,1,1
AVPR2,4,3,0,0,1,2,1
SLC12A3,4,1,0,0,0,1,1
F10,4,3,0,0,1,2,1
SERPINC1,4,1,0,0,0,1,1
LOXL2,2,1,0,1,0,0,1
IMPDH1,4,1,0,0,0,1,2
NS5b,4,1,0,0,0,1,2
P,4,10,0,2,4,4,2
PPARA,4,2,0,0,1,1,2
EDNRA,3,1,0,0,1,0,1
PLG,4,1,0,0,0,1,2
CTLA4,4,4,0,0,2,2,1
BRAF,4,8,1,2,0,5,1
PDCD1,4,16,0,2,7,7,2
EEF2,4,2,0,1,0,1,1
ALDH2,4,1,0,0,0,1,1
ABL1,4,4,0,0,1,3,1
PDGFRB,4,5,0,0,1,4,1
RAF1,4,4,1,1,0,2,1
EPHA2,4,2,0,0,0,2,1
ALDH5A1,4,3,0,0,0,3,2
CDK1,3,1,0,0,1,0,1
CDK2,3,2,0,1,1,0,1
CDK5,3,1,0,0,1,0,1
CDK9,3,1,0,0,1,0,1
GPNMB,2,2,0,2,0,0,1
SRC,3,1,0,0,1,0,1
FGFR1,4,2,0,0,0,2,1
FGFR2,4,1,0,0,0,1,1
FRK,4,1,0,0,0,1,1
DDR2,4,1,0,0,0,1,1
TEK,4,1,0,0,0,1,1
NPR1,4,1,0,0,0,1,1
TNFRSF9,2,1,0,1,0,0,1
FN1,3,2,1,0,1,0,1
PGF,4,1,0,0,0,1,1
CD274,4,4,0,0,1,3,2
XPO1,4,1,0,0,0,1,1
KDR,4,5,0,0,3,2,1
PDGFRA,4,1,0,0,0,1,1
FLT1,4,2,0,0,1,1,1
FLT4,4,3,0,0,2,1,1
CDK4,4,4,0,2,0,2,1
CDK6,4,3,0,1,0,2,1
CHEK1,2,1,0,1,0,0,1
PDPK1,2,1,0,1,0,0,1
TYRP1,2,1,0,1,0,0,1
MAGEA3,3,1,0,0,1,0,1
TYMS,4,2,0,0,0,2,1
GSR,4,1,0,0,0,1,1
DNMT3A,4,1,0,0,0,1,1
DNMT1,4,1,0,0,0,1,1
SLC6A3,4,1,0,0,0,1,1
HPSE,3,1,0,0,1,0,1
FGF2,3,1,0,0,1,0,1
FGF1,3,1,0,0,1,0,1
CD27,2,1,0,1,0,0,1
IDO1,3,2,0,0,2,0,1
ARAF,1,1,1,0,0,0,1
AXL,2,1,0,1,0,0,1
NFE2L2,4,1,0,0,0,1,1
HDAC11,2,1,0,1,0,0,1
HDAC8,2,1,0,1,0,0,1
TLR3,3,1,0,0,1,0,1
TNFRSF18,1,1,1,0,0,0,1
ALK,4,2,0,0,0,2,1
MTOR,2,1,0,1,0,0,1
CD276,2,1,0,1,0,0,1
MET,4,1,0,0,0,1,1
CXCR4,4,1,0,0,0,1,1
NAMPT,2,1,0,1,0,0,1
TOP1,3,1,0,0,1,0,1
TP53,3,1,0,0,1,0,1
PMEL,4,1,0,0,0,1,1
LAG3,4,5,0,2,2,1,1
TIGIT,3,3,0,0,3,0,1
HAVCR2,2,1,0,1,0,0,1
ERBB3,2,1,0,1,0,0,1
NLRP3,2,1,0,1,0,0,1
CXCL8,2,1,0,1,0,0,1
ATR,3,1,0,0,1,0,1
LCK,4,1,0,0,0,1,1
ITK,4,1,0,0,0,1,1
PTK2,3,1,0,0,1,0,1
PTK2B,3,1,0,0,1,0,1
PARP1,4,1,0,0,0,1,1
PARP2,4,1,0,0,0,1,1
PIK3CB,2,1,0,1,0,0,1
C5,3,1,0,0,1,0,1
C5AR1,4,1,0,0,0,1,1
CCN2,3,1,0,0,1,0,1
SLC10A1,2,2,0,2,0,0,1
ESR1,4,1,0,0,0,1,1
TOP2A,4,1,0,0,0,1,1
HBcAg,2,2,0,2,0,0,1
SV2A,4,3,0,0,1,2,1
CACNA1B,4,1,0,0,0,1,1
ABAT,4,1,0,0,0,1,1
COMT,4,1,0,0,0,1,1
GRIA2,2,1,0,1,0,0,1
GRIA1,2,1,0,1,0,0,1
CYP46A1,3,1,0,0,1,0,1
CA12,4,1,0,0,0,1,1
HCRTR1,4,1,0,0,0,1,1
HCRTR2,4,1,0,0,0,1,1
