gene,VDR_score,GR_score,log_VDR,log_GR,VDR_repro,GR_repro,VDR_dominant,status,pred_prob
CSF3R,137.23,31.13,4.928918964476265,3.469790173127767,0.3,0.3243243243243243,True,other,0.5763456710747598
PTGFR,4.37,55.4,1.6808279085207734,4.032469158504013,0.2,0.1621621621621621,False,other,0.5744897104121931
TSLP,23.96,3.11,3.217274543501227,1.4134230285081433,0.2,0.1351351351351351,True,approved,0.5732198163469123
PDPK1,23.6,75.93,3.202746442938317,4.342895917470844,0.2,0.2702702702702703,False,other,0.5702599500978013
MMP8,3.93,56.14,1.5953389880545987,4.045504396802627,0.2,0.1621621621621621,False,other,0.5695610746802021
MC2R,0.0,111.82,0.0,4.72579362831183,0.0,0.1081081081081081,False,other,0.5655626867390061
LOXL2,13.09,2.82,2.645465325910589,1.3402504226184837,0.1,0.1081081081081081,True,other,0.5652252173670945
MET,22.4,124.2,3.152736022363656,4.829912458665998,0.1,0.2972972972972973,False,other,0.5648497377454376
HDAC11,64.61,65.73,4.1837281233567865,4.200654626915515,0.3,0.3243243243243243,False,other,0.5643405466532966
ALOX5,3.77,14.06,1.56234630490025,2.7120422223717475,0.1,0.1081081081081081,False,other,0.5633120831841323
CX3CL1,10.89,25.81,2.4756977107026903,3.2887749522478678,0.1,0.1891891891891892,False,other,0.5624951113631815
PPARG,11.09,12.78,2.492378664626701,2.6232182655855123,0.1,0.1621621621621621,False,other,0.5599750097170973
CDK1,9.43,58.92,2.344686269012681,4.0930103392089645,0.3,0.2162162162162162,False,other,0.5579990199375978
FGF2,16.66,55.25,2.8713021951758138,4.029806041084529,0.4,0.2432432432432432,False,other,0.556173008315822
CD40,4.92,18.96,1.7783364488959144,2.993730270883318,0.3,0.1351351351351351,False,other,0.5552325060263066
CD3E,0.0,14.1,0.0,2.714694743820879,0.0,0.027027027027027,False,other,0.5539792646222393
IFNAR1,18.05,43.92,2.94706710157271,3.8048831298702424,0.3,0.2432432432432432,False,approved,0.5530402005471727
