gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status,PPARG_score,PPARG_celltypes,PPARG_experiments,PPARG_repro
ALK,0.0,4.75,1.0,5.0,1.0,5.0,1.0,5.0,0.1,0.1351351351351351,False,-0.3998932937191657,other,11,1,1,0.1111
XDH,0.0,8.12,0.0,8.0,0.0,7.0,0.0,6.0,0.0,0.1621621621621621,False,-4.105696196627351,other,11,1,1,0.1111
XPO1,31.53,133.51,5.0,31.0,5.0,20.0,4.0,22.0,0.4,0.5945945945945946,False,-0.5603441708120853,other,22,2,2,0.2222
TACR1,0.0,0.0,0.0,6.0,0.0,5.0,0.0,7.0,0.0,0.1891891891891892,False,-4.31606744346612,other,0,0,0,0.0
IL1R1,5.72,333.19,2.0,41.0,2.0,22.0,2.0,24.0,0.2,0.6486486486486487,False,-1.6491197473156307,other,33,3,3,0.3333
IL1A,75.78,18.7,1.0,5.0,1.0,3.0,1.0,2.0,0.1,0.054054054054054,True,0.780141735367988,other,0,0,0,0.0
IL1B,10.2,45.09,3.0,18.0,3.0,10.0,3.0,10.0,0.3,0.2702702702702703,False,0.1454494972025992,approved,11,1,1,0.1111
CXCR4,27.15,141.98,1.0,32.0,1.0,17.0,1.0,18.0,0.1,0.4864864864864865,False,-2.1742509268451022,other,11,1,1,0.1111
NFE2L2,14.76,71.59,4.0,24.0,4.0,16.0,4.0,14.0,0.4,0.3783783783783784,False,0.0781610237896969,other,55,5,5,0.5556
CALCRL,6.77,0.0,2.0,3.0,2.0,3.0,2.0,3.0,0.2,0.081081081081081,True,1.2051660072258517,other,22,2,2,0.2222
CD28,0.0,54.88,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,other,0,0,0,0.0
CTLA4,0.0,27.22,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,approved,0,0,0,0.0
PIKFYVE,32.2,33.04,4.0,17.0,4.0,11.0,4.0,17.0,0.4,0.4594594594594595,False,-0.1953766684633593,other,22,2,2,0.2222
FN1,18.98,27.15,2.0,16.0,2.0,8.0,2.0,11.0,0.2,0.2972972972972973,False,-0.5492457504845378,other,22,2,2,0.2222
CXCR2,69.42,8.12,2.0,2.0,2.0,2.0,1.0,2.0,0.1,0.054054054054054,True,0.780141735367988,other,0,0,0,0.0
CXCR1,4.96,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.1,0.054054054054054,True,0.780141735367988,other,22,2,2,0.2222
INPP5D,179.9,33.08,7.0,7.0,6.0,7.0,4.0,7.0,0.4,0.1891891891891892,True,1.041484561151964,other,11,1,1,0.1111
PDCD1,0.0,76.52,0.0,12.0,0.0,9.0,0.0,9.0,0.0,0.2432432432432432,False,-4.662451872030237,approved,11,1,1,0.1111
IL5RA,20.35,61.24,2.0,16.0,2.0,11.0,2.0,14.0,0.2,0.3783783783783784,False,-0.8870735580496263,other,11,1,1,0.1111
HRH1,140.89,65.51,8.0,25.0,6.0,16.0,4.0,16.0,0.4,0.4324324324324324,True,-0.1098332362271199,other,33,3,3,0.3333
PPARG,11.09,12.78,1.0,4.0,1.0,3.0,1.0,6.0,0.1,0.1621621621621621,False,-0.6462645779900534,other,11,1,1,0.1111
RAF1,19.66,40.61,4.0,24.0,4.0,16.0,4.0,15.0,0.4,0.4054054054054054,False,-0.0188960794437378,other,22,2,2,0.2222
HDAC11,64.61,65.73,4.0,21.0,4.0,11.0,3.0,12.0,0.3,0.3243243243243243,False,-0.1089801089605447,other,22,2,2,0.2222
RARB,0.0,89.36,0.0,12.0,0.0,7.0,0.0,5.0,0.0,0.1351351351351351,False,-3.859324912356463,other,0,0,0,0.0
ACVR2B,5.09,39.09,2.0,16.0,2.0,10.0,2.0,10.0,0.2,0.2702702702702703,False,-0.4164293904055157,other,11,1,1,0.1111
