gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
IL5RA,20.35,61.24,2,16,2,11,2,14,0.2,0.3783783783783784,False,-0.8870735580496263,other
HRH1,140.89,65.51,8,25,6,16,4,16,0.4,0.43243243243243246,True,-0.10983323622711998,other
PPARG,11.09,12.78,1,4,1,3,1,6,0.1,0.16216216216216217,False,-0.6462645779900534,other
RAF1,19.66,40.61,4,24,4,16,4,15,0.4,0.40540540540540543,False,-0.01889607944373786,other
HDAC11,64.61,65.73,4,21,4,11,3,12,0.3,0.32432432432432434,False,-0.10898010896054479,other
RARB,0.0,89.36,0,12,0,7,0,5,0.0,0.13513513513513514,False,-3.859324912356463,other
ACVR2B,5.09,39.09,2,16,2,10,2,10,0.2,0.2702702702702703,False,-0.4164293904055157,other
SCN5A,0.0,18.58,0,4,0,3,0,4,0.0,0.10810810810810811,False,-3.5620361038716486,other
CCR9,0.0,12.27,0,7,0,4,0,4,0.0,0.10810810810810811,False,-3.5620361038716486,failed
CCR1,68.06,18.84,2,2,2,2,2,2,0.2,0.05405405405405406,True,1.7130275395094512,other
CCR2,7.74,6.95,1,11,1,9,1,8,0.1,0.21621621621621623,True,-1.0401988282840968,failed
CCR5,19.46,0.0,1,0,1,0,1,0,0.1,0.0,True,3.4594316186372973,other
PTH1R,47.2,234.52,3,22,3,12,3,14,0.3,0.3783783783783784,False,-0.32519467044151157,other
TLR9,9.84,44.51,1,5,1,5,1,6,0.1,0.16216216216216217,False,-0.6462645779900534,other
TIGIT,0.0,8.84,0,5,0,4,0,5,0.0,0.13513513513513514,False,-3.859324912356463,failed
CD80,11.29,0.0,0,18,0,10,0,11,0.0,0.2972972972972973,True,-4.941563173263298,other
CD86,26.86,18.65,1,1,1,1,1,1,0.1,0.02702702702702703,True,1.5708529013057202,approved
PIK3CB,26.43,23.03,3,14,3,11,3,13,0.3,0.35135135135135137,True,-0.22113407407752791,other
ATR,36.05,89.15,4,28,4,18,4,17,0.4,0.4594594594594595,False,-0.1953766684633593,other
P2RY12,0.0,96.27,0,2,0,2,0,2,0.0,0.05405405405405406,False,-2.679289883269309,other
GMPS,14.64,30.96,3,15,3,10,2,10,0.2,0.2702702702702703,False,-0.4164293904055157,other
FGFR3,21.59,21.82,1,5,1,3,1,4,0.1,0.10810810810810811,False,-0.10260448523435133,other
PDGFRA,4.42,134.3,2,14,2,9,2,10,0.2,0.2702702702702703,False,-0.4164293904055157,other
KIT,21.29,137.44,3,27,3,16,3,13,0.3,0.35135135135135137,False,-0.22113407407752791,other
KDR,7.48,97.78,2,18,2,12,2,12,0.2,0.32432432432432434,False,-0.6708589965686595,other
PPAT,6.72,17.2,4,14,3,10,3,9,0.3,0.24324324324324326,False,0.29174443835663794,other
GNRHR,0.0,0.0,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
CXCL8,10.92,133.41,3,32,2,17,2,18,0.2,0.4864864864864865,False,-1.2413651227036395,other
CXCL10,5.29,21.93,1,4,1,4,1,3,0.1,0.08108108108108109,False,0.27228020308438866,ongoing
HPSE,9.27,57.65,2,13,2,8,2,10,0.2,0.2702702702702703,False,-0.4164293904055157,other
SPP1,137.09,6.6,12,6,8,5,6,8,0.6,0.21621621621621623,True,1.431106890641492,other
ADH5,48.36,80.42,1,20,1,12,1,14,0.1,0.3783783783783784,False,-1.8199593621910894,other
PPP3CA,141.59,11.37,12,16,8,10,6,11,0.6,0.2972972972972973,True,0.9891741642995882,other
PDE5A,22.77,7.56,3,9,3,7,3,9,0.3,0.24324324324324326,True,0.29174443835663794,other
FGF2,16.66,55.25,4,15,4,11,4,9,0.4,0.24324324324324326,False,0.6951001325878468,other
IL15,31.5,27.81,5,13,5,10,5,11,0.5,0.2972972972972973,True,0.7308621687081974,other
EDNRA,0.0,3.7,0,9,0,5,0,6,0.0,0.16216216216216217,False,-4.105696196627351,other
NR3C2,19.75,18.02,2,9,2,6,2,8,0.2,0.21621621621621623,True,-0.1073130241426337,other
TLR2,11.37,12.71,2,5,2,5,2,4,0.2,0.10810810810810811,False,0.8302813189071119,failed
GRIA2,0.0,0.0,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
TLR3,0.0,0.0,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
SLC6A3,0.0,7.65,0,5,0,4,0,4,0.0,0.10810810810810811,False,-3.5620361038716486,other
OSMR,39.93,182.9,6,22,4,14,4,15,0.4,0.40540540540540543,False,-0.01889607944373786,ongoing
PTGER4,14.13,27.15,4,24,4,13,4,14,0.4,0.3783783783783784,False,0.07816102378969694,other
GHR,57.7,0.0,4,10,4,7,3,8,0.3,0.21621621621621623,True,0.4545658634654811,other
ITGA2,19.37,107.8,4,20,4,12,4,13,0.4,0.35135135135135137,False,0.1822216201536808,other
IL31RA,6.13,59.84,2,16,2,8,2,8,0.2,0.21621621621621623,False,-0.1073130241426337,approved
MAP3K1,13.84,101.77,2,19,2,12,2,13,0.2,0.35135135135135137,False,-0.7830129616856427,other
HMGCR,23.51,34.51,3,19,3,12,3,14,0.3,0.3783783783783784,False,-0.32519467044151157,other
DHFR,33.89,42.56,6,13,6,9,6,13,0.6,0.35135135135135137,False,0.7554069530984832,other
TSLP,23.96,3.11,2,5,2,5,2,5,0.2,0.13513513513513514,True,0.5329925104222974,approved
CSF2,20.08,203.2,2,13,2,7,2,5,0.2,0.13513513513513514,False,0.5329925104222974,failed
IL5,6.02,123.29,3,15,3,10,3,15,0.3,0.40540540540540543,False,-0.4222517736749465,approved
IL13,3.31,99.09,2,14,2,6,2,6,0.2,0.16216216216216217,False,0.28662122615140956,approved
CD14,207.55,155.41,9,20,5,14,5,12,0.5,0.32432432432432434,True,0.6092489226240755,other
HDAC3,4.83,49.5,1,9,1,5,1,6,0.1,0.16216216216216217,False,-0.6462645779900534,other
FGF1,4.72,1.68,1,5,1,4,1,5,0.1,0.13513513513513514,True,-0.3998932937191657,other
NR3C1,56.91,9.43,2,8,2,8,2,7,0.2,0.1891891891891892,True,0.07624997931264035,other
ADRB2,14.51,48.38,6,20,6,13,6,11,0.6,0.2972972972972973,False,0.9891741642995882,other
CSF1R,7.53,84.26,2,13,2,6,2,5,0.2,0.13513513513513514,False,0.5329925104222974,other
PDGFRB,0.0,30.47,0,12,0,6,0,8,0.0,0.21621621621621623,False,-4.499630446921394,approved
GRIA1,0.0,0.0,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
HAVCR2,54.67,56.32,4,11,4,7,2,6,0.2,0.16216216216216217,False,0.28662122615140956,ongoing
ITK,54.67,56.32,4,11,4,7,2,6,0.2,0.16216216216216217,False,0.28662122615140956,other
HRH2,26.08,45.03,1,4,1,3,1,3,0.1,0.08108108108108109,False,0.27228020308438866,other
FLT4,0.0,0.0,0,3,0,3,0,3,0.0,0.08108108108108109,False,-3.1871514155529086,other
RIPK1,18.79,171.22,5,22,5,13,5,14,0.5,0.3783783783783784,False,0.39303436114310886,ongoing
ALDH5A1,4.22,24.85,3,9,3,7,3,6,0.3,0.16216216216216217,False,0.8485001137595244,other
LTA,27.76,19.49,1,6,1,4,1,4,0.1,0.10810810810810811,True,-0.10260448523435133,other
TNF,36.86,19.49,1,9,1,6,1,4,0.1,0.10810810810810811,True,-0.10260448523435133,approved
MAPK14,34.95,69.51,7,27,5,18,5,20,0.5,0.5405405405405406,False,-0.1103515573654427,failed
VEGFA,110.38,11.56,6,21,6,14,4,16,0.4,0.43243243243243246,True,-0.10983323622711998,approved
SLC29A1,34.57,42.62,3,21,3,12,3,13,0.3,0.35135135135135137,False,-0.22113407407752791,other
IL17A,0.0,0.0,0,0,0,0,0,0,0.0,0.0,False,0.0,approved
IL17F,0.0,0.0,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
HCRTR2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,False,0.0,other
