gene,disease,category,phase,mol_id,VDR_score,GR_score,VDR_dominant
CD80,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201823,11.29,0.0,True
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201580,36.86,19.49,True
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL118,6.62,3.24,True
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201831,36.86,19.49,True
MC2R,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL1201610,0.0,111.82,False
SLC29A1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL932,34.57,42.62,False
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201572,36.86,19.49,True
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201581,36.86,19.49,True
DHFR,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL34259,33.89,42.56,False
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL131,56.91,9.43,True
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL635,56.91,9.43,True
MS4A1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201576,0.0,8.92,False
FKBP1A,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1201182,10.99,52.01,False
IL6R,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1237022,99.59,82.9,True
IL1R1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201570,5.72,333.19,False
PPAT,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1542,6.72,17.2,False
TNFSF13B,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1789843,0.0,0.0,False
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201833,36.86,19.49,True
MS4A1,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL1201836,0.0,8.92,False
DHODH,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL960,19.91,36.24,False
TNFSF11,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL1237023,0.0,0.0,False
CCR5,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL256907,19.46,0.0,True
IL1B,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1201834,10.2,45.09,False
HMGCR,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL503,23.51,34.51,False
NR3C1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1200878,56.91,9.43,True
FDPS,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL4303669,31.62,28.96,True
IL17A,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL1743068,0.0,0.0,False
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL2021430,56.91,9.43,True
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1650,56.91,9.43,True
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL384467,56.91,9.43,True
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL622,6.62,3.24,True
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL599,6.62,3.24,True
JAK3,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL3301607,10.18,31.66,False
JAK2,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL3301607,21.27,62.01,False
JAK1,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL3301607,12.81,85.48,False
TYK2,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL3301607,20.2,73.07,False
IL6R,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL2108730,99.59,82.9,True
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1088751,34.95,69.51,False
MS4A1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1743088,0.0,8.92,False
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2108739,36.86,19.49,True
JAK1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL2105759,12.81,85.48,False
JAK2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL2105759,21.27,62.01,False
CD4,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2108063,0.0,0.0,False
IL6,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL1743050,3.51,56.98,False
GMPS,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL245019,14.64,30.96,False
TNFSF13B,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL1743075,0.0,0.0,False
JAK3,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3039513,10.18,31.66,False
CD3E,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL1743053,0.0,14.1,False
IL6,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL1743071,3.51,56.98,False
SYK,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL2103830,55.92,6.88,True
IL17A,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1743034,0.0,0.0,False
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL514201,34.95,69.51,False
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1743054,36.86,19.49,True
KIT,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1908391,21.29,137.44,False
FGFR3,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1908391,21.59,21.82,False
LTA,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1743056,27.76,19.49,True
IL1B,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1743026,10.2,45.09,False
IL22,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1743017,0.0,0.0,False
CD4,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1743083,0.0,0.0,False
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3301600,209.73,65.13,True
NR3C1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3137316,56.91,9.43,True
TNFSF13B,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1742986,0.0,0.0,False
TNFSF13,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1742986,15.47,48.73,False
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1230065,34.95,69.51,False
IL6,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2108589,3.51,56.98,False
CD19,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL2109337,83.95,15.34,True
IL17RA,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1742996,28.82,33.51,False
MS4A1,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL2108041,0.0,8.92,False
CSF2,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1743044,20.08,203.2,False
P2RX7,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3545108,9.05,13.8,False
CCR5,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1951914,19.46,0.0,True
MAPKAPK5,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL5095028,12.14,67.51,False
JAK1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3545225,12.81,85.48,False
IL1R1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2109458,5.72,333.19,False
CSF2,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL2109433,20.08,203.2,False
CSF1R,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL3639728,7.53,84.26,False
SYK,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL5095034,55.92,6.88,True
P2RX7,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1823817,9.05,13.8,False
CSF1R,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL3813873,7.53,84.26,False
KIT,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL3813873,21.29,137.44,False
FLT3,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL3813873,8.72,45.79,False
JAK2,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL3545241,21.27,62.01,False
CSF1R,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3674570,7.53,84.26,False
MMP9,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3833374,11.54,71.71,False
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3545398,34.95,69.51,False
CCR1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4444976,68.06,18.84,True
HRH4,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3301609,6.54,0.0,True
TNFSF14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1742988,35.06,90.67,False
PTGS2,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL416146,6.62,3.24,True
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1088752,34.95,69.51,False
MAPK11,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1088752,4.16,27.38,False
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2103838,34.95,69.51,False
PPIA,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL160,17.44,7.85,True
FAAH,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL112,9.36,119.53,False
TRPV1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL112,0.0,0.0,False
LTB4R,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1742420,157.15,54.63,True
HRH1,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL998,140.89,65.51,True
PTGS2,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL404108,6.62,3.24,True
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL650,56.91,9.43,True
ACE,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1168,4.76,40.31,False
ALOX5,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL421,3.77,14.06,False
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL103667,34.95,69.51,False
HMGCR,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL1064,23.51,34.51,False
IFNG,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2108459,0.0,2.58,False
MMP13,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL206815,0.0,13.01,False
ADAM17,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL206815,18.4,195.86,False
PLA2G4A,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL2104969,4.45,0.0,True
CD86,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL1742990,26.86,18.65,True
CD80,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL1742990,11.29,0.0,True
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1743057,36.86,19.49,True
IL15,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2109467,31.5,27.81,True
PPARG,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL121,11.09,12.78,False
CXCL10,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2109664,5.29,21.93,False
IFNAR1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2364653,18.05,43.92,False
MAP2K2,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3187723,11.07,47.1,False
MAP2K1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3187723,31.2,348.07,False
MAPK14,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL1088750,34.95,69.51,False
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL363648,34.95,69.51,False
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1090090,34.95,69.51,False
JAK1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3622820,12.81,85.48,False
JAK3,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL5315119,10.18,31.66,False
JAK2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL5315119,21.27,62.01,False
JAK1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL5315119,12.81,85.48,False
TYK2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL5315119,20.2,73.07,False
CSF2,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3707325,20.08,203.2,False
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3707348,209.73,65.13,True
CSF2,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL2109430,20.08,203.2,False
TLR9,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1690,9.84,44.51,False
TLR7,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1690,0.0,3.51,False
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1364144,56.91,9.43,True
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201081,56.91,9.43,True
HRH2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL902,26.08,45.03,False
SYK,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3989516,55.92,6.88,True
ACE,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1200659,4.76,40.31,False
HRH1,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL91397,140.89,65.51,True
PTAFR,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL91397,9.03,11.99,False
PTGS2,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL2107455,6.62,3.24,True
MIF,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL2107455,25.0,20.4,True
TRAF3IP2,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL2107455,7.8,151.92,False
KEAP1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL2107333,17.93,41.8,False
CD52,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL1201587,9.65,0.0,True
CD28,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL2109250,0.0,54.88,False
TNFSF12,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL2109598,11.51,11.96,False
SPP1,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL2109530,137.09,6.6,True
IL20,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3301580,0.0,30.05,False
BTK,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL4071161,209.73,65.13,True
ADORA3,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL3989873,43.73,24.52,True
IL6R,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3833343,99.59,82.9,True
CSF1,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL2109513,6.09,118.48,False
GNRHR,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3989969,0.0,0.0,False
TNFSF13B,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL3990000,0.0,0.0,False
IL17A,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL3990000,0.0,0.0,False
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4072833,209.73,65.13,True
NOS2,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL114551,4.35,0.0,True
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3900554,209.73,65.13,True
IRAK4,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4081711,51.38,19.32,True
PTGS2,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL364804,6.62,3.24,True
CCR1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3334824,68.06,18.84,True
JAK3,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4085457,10.18,31.66,False
PTGER4,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL6067994,14.13,27.15,False
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4065122,209.73,65.13,True
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4163691,209.73,65.13,True
BTK,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL4297674,209.73,65.13,True
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4297572,36.86,19.49,True
NR3C1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4297572,56.91,9.43,True
IL17A,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4297700,0.0,0.0,False
IL17F,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4297700,0.0,0.0,False
CSF1R,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL4297713,7.53,84.26,False
MS4A1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4297845,0.0,8.92,False
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4297863,36.86,19.49,True
IL17A,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4297863,0.0,0.0,False
CX3CL1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4297942,10.89,25.81,False
PIKFYVE,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL6067997,32.2,33.04,False
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL93645,6.62,3.24,True
CCR2,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL3305901,7.74,6.95,True
DHODH,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL197194,19.91,36.24,False
CD40,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL4298210,4.92,18.96,False
CD40LG,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4594331,0.0,0.0,False
TNFRSF13C,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL4594357,0.0,104.09,False
NR3C1,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL1159650,56.91,9.43,True
IL6R,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL4650406,99.59,82.9,True
ALOX5,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1562610,3.77,14.06,False
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1070,6.62,3.24,True
NR1H4,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL1551,2.4,0.0,True
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1504,56.91,9.43,True
BTK,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4594348,209.73,65.13,True
CSF2,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL4650518,20.08,203.2,False
OPRD1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL494480,0.0,24.67,False
RIPK1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4071864,18.79,171.22,False
NR3C2,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL1393,19.75,18.02,True
VKORC1,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL1200879,120.19,48.52,True
FCGRT,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL4594310,8.46,0.0,True
PDE3A,"Arthritis, Rheumatoid",autoimmune,3.0,CHEMBL799,11.67,0.0,True
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL389621,56.91,9.43,True
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL865,6.62,3.24,True
DHFR,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL3244648,33.89,42.56,False
JAK1,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL4298167,12.81,85.48,False
JAK2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL4298167,21.27,62.01,False
JAK3,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL4298167,10.18,31.66,False
TYK2,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL4298167,20.2,73.07,False
CNR1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL465,22.58,49.88,False
CNR1,"Arthritis, Rheumatoid",autoimmune,2.0,CHEMBL190461,22.58,49.88,False
IL6,"Arthritis, Rheumatoid",autoimmune,1.0,CHEMBL4297732,3.51,56.98,False
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL1742986,0.0,0.0,False
TNFSF13,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL1742986,15.47,48.73,False
SYK,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3989516,55.92,6.88,True
IL6,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL1743071,3.51,56.98,False
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL1743075,0.0,0.0,False
MS4A1,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL1743048,0.0,8.92,False
JAK1,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL2105759,12.81,85.48,False
JAK2,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL2105759,21.27,62.01,False
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL2107877,0.0,0.0,False
ESR1,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL1358,0.0,18.72,False
FKBP1A,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL413,10.99,52.01,False
PPAT,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL1542,6.72,17.2,False
FAAH,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL112,9.36,119.53,False
TRPV1,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL112,0.0,0.0,False
VDR,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL1042,30.94,15.24,True
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,CHEMBL1650,56.91,9.43,True
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,CHEMBL2021430,56.91,9.43,True
PGR,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL1531,6.14,0.0,True
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,CHEMBL384467,56.91,9.43,True
DHFR,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL34259,33.89,42.56,False
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,0.5,CHEMBL1201081,56.91,9.43,True
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL650,56.91,9.43,True
PGR,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL717,6.14,0.0,True
ACE,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL1168,4.76,40.31,False
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,CHEMBL635,56.91,9.43,True
TLR9,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL1690,9.84,44.51,False
TLR7,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL1690,0.0,3.51,False
HRH1,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL1620,140.89,65.51,True
PTGS2,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL599,6.62,3.24,True
VDR,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL846,30.94,15.24,True
NR3C1,"Lupus Erythematosus, Systemic",autoimmune,4.0,CHEMBL131,56.91,9.43,True
DHODH,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL960,19.91,36.24,False
HMGCR,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL1064,23.51,34.51,False
PPP3CA,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL5314379,141.59,11.37,True
MS4A1,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL2108041,0.0,8.92,False
IGHE,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL1201589,3.22,11.14,False
CD86,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL1201823,26.86,18.65,True
CD80,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL1201823,11.29,0.0,True
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,4.0,CHEMBL1789843,0.0,0.0,False
CSF3R,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL1201567,137.23,31.13,True
MS4A1,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL1201576,0.0,8.92,False
IL6,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL2109615,3.51,56.98,False
CD28,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL2109250,0.0,54.88,False
ICOSLG,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL2109249,0.0,0.0,False
IFNAR1,"Lupus Erythematosus, Systemic",autoimmune,4.0,CHEMBL2364653,18.05,43.92,False
JAK3,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3301607,10.18,31.66,False
JAK2,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3301607,21.27,62.01,False
JAK1,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3301607,12.81,85.48,False
TYK2,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3301607,20.2,73.07,False
JAK1,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3301606,12.81,85.48,False
JAK3,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3545159,10.18,31.66,False
SYK,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3545159,55.92,6.88,True
BTK,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL3545193,209.73,65.13,True
IL6R,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3833343,99.59,82.9,True
CD40LG,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL2109478,0.0,0.0,False
IFNG,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL3989977,0.0,2.58,False
BTK,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4072833,209.73,65.13,True
IRAK4,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL4081711,51.38,19.32,True
JAK1,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4297477,12.81,85.48,False
TYK2,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4297477,20.2,73.07,False
S1PR1,"Lupus Erythematosus, Systemic",autoimmune,3.0,CHEMBL4297505,6.26,29.35,False
BTK,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4065122,209.73,65.13,True
MS4A1,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL4297845,0.0,8.92,False
CD19,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4298134,83.95,15.34,True
SYK,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL3986824,55.92,6.88,True
TYK2,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4435170,20.2,73.07,False
BTK,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4594348,209.73,65.13,True
BTK,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4650321,209.73,65.13,True
TLR8,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL4650329,0.0,0.0,False
TLR7,"Lupus Erythematosus, Systemic",autoimmune,1.0,CHEMBL4650329,0.0,3.51,False
TNFSF13B,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4650245,0.0,0.0,False
TLR8,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4802159,0.0,0.0,False
TLR7,"Lupus Erythematosus, Systemic",autoimmune,2.0,CHEMBL4802159,0.0,3.51,False
