gene,disease,category,phase,mol_id,VDR_score,GR_score,VDR_dominant
ADRB2,Asthma,respiratory,2.0,CHEMBL3039530,14.51,48.38,False
PTGDR2,Asthma,respiratory,2.0,CHEMBL2386081,5.28,3.67,True
PTGDR2,Asthma,respiratory,3.0,CHEMBL3137332,5.28,3.67,True
MAPK14,Asthma,respiratory,2.0,CHEMBL9960,34.95,69.51,False
PIK3CD,Asthma,respiratory,1.0,CHEMBL5314409,13.67,23.02,False
IGHE,Asthma,respiratory,2.0,CHEMBL2109457,3.22,11.14,False
MAPK14,Asthma,respiratory,2.0,CHEMBL1938400,34.95,69.51,False
HRH4,Asthma,respiratory,1.0,CHEMBL1915540,6.54,0.0,True
CHRM3,Asthma,respiratory,1.0,CHEMBL3916700,11.74,0.0,True
ADRB2,Asthma,respiratory,1.0,CHEMBL3916700,14.51,48.38,False
PTGDR2,Asthma,respiratory,2.0,CHEMBL3545031,5.28,3.67,True
PTGDR2,Asthma,respiratory,2.0,CHEMBL3545343,5.28,3.67,True
PTGDR2,Asthma,respiratory,2.0,CHEMBL1914489,5.28,3.67,True
ADRB2,Asthma,respiratory,2.0,CHEMBL3545103,14.51,48.38,False
ADORA1,Asthma,respiratory,2.0,CHEMBL3545162,0.0,198.31,False
PTGDR2,Asthma,respiratory,2.0,CHEMBL2442750,5.28,3.67,True
PTGDR2,Asthma,respiratory,3.0,CHEMBL560993,5.28,3.67,True
CHRNA7,Asthma,respiratory,2.0,CHEMBL5314402,0.0,0.0,False
PTGDR2,Asthma,respiratory,2.0,CHEMBL5314403,5.28,3.67,True
KIT,Asthma,respiratory,3.0,CHEMBL1908391,21.29,137.44,False
FGFR3,Asthma,respiratory,3.0,CHEMBL1908391,21.59,21.82,False
SYK,Asthma,respiratory,2.0,CHEMBL2170582,55.92,6.88,True
TSLP,Asthma,respiratory,4.0,CHEMBL3707229,23.96,3.11,True
CSF2,Asthma,respiratory,2.0,CHEMBL3707325,20.08,203.2,False
CHRM3,Asthma,respiratory,2.0,CHEMBL3707249,11.74,0.0,True
CHRM2,Asthma,respiratory,2.0,CHEMBL3707249,0.0,3.5,False
CHRNA7,Asthma,respiratory,2.0,CHEMBL3707249,0.0,0.0,False
CHRM1,Asthma,respiratory,2.0,CHEMBL3707249,0.0,43.55,False
ADH5,Asthma,respiratory,2.0,CHEMBL3989910,48.36,80.42,False
ADH5,Asthma,respiratory,1.0,CHEMBL1738699,48.36,80.42,False
NOS2,Asthma,respiratory,1.0,CHEMBL114551,4.35,0.0,True
ADRB2,Asthma,respiratory,2.0,CHEMBL1240967,14.51,48.38,False
NPR1,Asthma,respiratory,2.0,CHEMBL4297320,3.93,2.99,True
NR3C1,Asthma,respiratory,2.0,CHEMBL4072756,56.91,9.43,True
PTGDR2,Asthma,respiratory,2.0,CHEMBL551813,5.28,3.67,True
ALOX5,Asthma,respiratory,2.0,CHEMBL4297416,3.77,14.06,False
TLR7,Asthma,respiratory,2.0,CHEMBL4297492,0.0,3.51,False
IL33,Asthma,respiratory,2.0,CHEMBL4297580,0.0,3.73,False
IL13,Asthma,respiratory,1.0,CHEMBL4297864,3.31,99.09,False
IL17A,Asthma,respiratory,2.0,CHEMBL4297926,0.0,0.0,False
NR3C1,Asthma,respiratory,2.0,CHEMBL3666807,56.91,9.43,True
TNFSF4,Asthma,respiratory,2.0,CHEMBL4594569,3.38,22.64,False
BTK,Asthma,respiratory,2.0,CHEMBL3702854,209.73,65.13,True
IL33,Asthma,respiratory,2.0,CHEMBL4594594,0.0,3.73,False
IL5,Asthma,respiratory,3.0,CHEMBL4650469,6.02,123.29,False
TNFSF14,Asthma,respiratory,2.0,CHEMBL4802198,35.06,90.67,False
CHRM3,Asthma,respiratory,1.0,CHEMBL4297483,11.74,0.0,True
ADRB2,Asthma,respiratory,1.0,CHEMBL4297483,14.51,48.38,False
CXCR2,Asthma,respiratory,2.0,CHEMBL2103864,69.42,8.12,True
