gene,disease_id,disease,therapeutic_areas,score,status
HRH1,EFO_0007141,allergic conjunctivitis,disorder of visual system; immune system disease; phenotype,0.6076068177708008,other
HRH1,HP_0001742,Nasal congestion,phenotype,0.6055460512632671,other
CCR1,MONDO_0100096,COVID-19,infectious disease,0.45626385660598684,other
CCR1,HP_0000924,Abnormality of the skeletal system,phenotype,0.4495176329551797,other
CCR1,MONDO_0007915,systemic lupus erythematosus,immune system disease; urinary system disease; musculoskeletal or connective tissue disease; phenotype,0.4236921378368359,other
CCR1,EFO_0001060,celiac disease,"gastrointestinal disease; genetic, familial or congenital disease; immune system disease",0.4019587664404766,other
CCR1,EFO_0003780,Behcet's syndrome,immune system disease; urinary system disease; nervous system disease; integumentary system disease; cardiovascular disease,0.394920157923023,other
CCR2,MONDO_0009060,cystic disease of lung,"genetic, familial or congenital disease",0.6204270479984059,failed
CCR2,EFO_0000180,HIV-1 infection,infectious disease; reproductive system or breast disease,0.3967448052234313,failed
CCR2,MONDO_0100096,COVID-19,infectious disease,0.37201406589676406,failed
CCR2,EFO_0001060,celiac disease,"gastrointestinal disease; genetic, familial or congenital disease; immune system disease",0.3482201743994541,failed
CCR2,EFO_0000685,rheumatoid arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.26862328774219696,failed
CCR5,EFO_0000764,HIV infection,infectious disease; reproductive system or breast disease,0.7442590579227027,other
CCR5,EFO_0000180,HIV-1 infection,infectious disease; reproductive system or breast disease,0.67792770178648,other
CCR5,EFO_0000765,AIDS,"immune system disease; infectious disease; genetic, familial or congenital disease; reproductive system or breast disease",0.39637864764515324,other
CCR5,MONDO_0100096,COVID-19,infectious disease,0.39149761751776285,other
CCR5,EFO_0000763,viral disease,infectious disease,0.37777716543494294,other
CD80,EFO_0000685,rheumatoid arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.618273953289983,other
CD80,EFO_0010134,kidney transplant,medical procedure,0.5380886184871825,other
CD80,EFO_0002609,juvenile idiopathic arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.5309420402569959,other
CD80,EFO_0003778,psoriatic arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.5099130126730609,other
CD80,EFO_0000540,immune system disease,immune system disease,0.463188037906006,other
CD86,EFO_0000685,rheumatoid arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.615301066307767,approved
CD86,EFO_0010134,kidney transplant,medical procedure,0.5379038285598401,approved
CD86,EFO_0002609,juvenile idiopathic arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.5329544417302413,approved
CD86,MONDO_0005301,multiple sclerosis,nervous system disease; immune system disease,0.5229823002515067,approved
CD86,EFO_0003778,psoriatic arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.5116065408526336,approved
PIK3CB,MONDO_0004992,cancer,cancer or benign tumor,0.5780020369592046,other
PIK3CB,EFO_0005772,neurodegenerative disease,nervous system disease,0.5380197145332933,other
