gene,disease_id,disease,therapeutic_areas,score,status
LTB4R,EFO_0000341,chronic obstructive pulmonary disease,respiratory or thoracic disease,0.10392762289812266,other
LTB4R,MONDO_0004979,asthma,phenotype; respiratory or thoracic disease,0.09168516567336654,other
PGF,EFO_0009321,diabetic macular edema,nutritional or metabolic disease; nervous system disease; disorder of visual system; cardiovascular disease,0.6027726296926691,other
PGF,EFO_0004683,wet macular degeneration,"nervous system disease; genetic, familial or congenital disease; disorder of visual system; phenotype",0.5971973882567081,other
PGF,MONDO_0003005,macular retinal edema,nervous system disease; disorder of visual system; phenotype,0.5949584845670048,other
PGF,EFO_1001157,retinal vein occlusion,cardiovascular disease; nervous system disease; disorder of visual system,0.5945792995311403,other
PGF,MONDO_0810000,choroidal neovascularization,disorder of visual system,0.5799726426240689,other
CA12,MONDO_0007747,isolated hyperchlorhidrosis,"integumentary system disease; genetic, familial or congenital disease",0.6794515382695604,other
CA12,MONDO_0005041,glaucoma,disorder of visual system,0.6054394990823443,other
CA12,EFO_1000782,altitude sickness,"respiratory or thoracic disease; injury, poisoning or other complication",0.5976533636089492,other
CA12,MONDO_0001744,angle-closure glaucoma,disorder of visual system,0.5928576076731663,other
CA12,HP_0001250,Seizure,phenotype,0.5889858301017256,other
CD19,MONDO_0013283,"immunodeficiency, common variable, 3","immune system disease; hematologic disease; genetic, familial or congenital disease",0.6821072538733047,approved
CD19,EFO_0000403,diffuse large B-cell lymphoma,"hematologic disease; immune system disease; genetic, familial or congenital disease; cancer or benign tumor",0.6105596894237274,approved
CD19,EFO_0004256,neuromyelitis optica,nervous system disease; disorder of visual system; immune system disease,0.5747631173989952,approved
CD19,EFO_0000094,B-cell acute lymphoblastic leukemia,"hematologic disease; immune system disease; genetic, familial or congenital disease; cancer or benign tumor",0.557991233355269,approved
CD19,EFO_0000220,acute lymphoblastic leukemia,"hematologic disease; genetic, familial or congenital disease; cancer or benign tumor",0.5516503390442318,approved
VKORC1,Orphanet_98434,Hereditary combined deficiency of vitamin K-dependent clotting factors,"nutritional or metabolic disease; genetic, familial or congenital disease; hematologic disease",0.7140130770318778,other
VKORC1,MONDO_0011837,"vitamin K-dependent clotting factors, combined deficiency of, type 2","hematologic disease; genetic, familial or congenital disease",0.7130059504243252,other
VKORC1,EFO_0000275,atrial fibrillation,cardiovascular disease,0.6112255987855229,other
VKORC1,MONDO_0000831,thrombotic disease,cardiovascular disease,0.5977171168231276,other
VKORC1,EFO_0005801,cholesterol embolism,cardiovascular disease,0.5662148805846708,other
SLC5A2,MONDO_0009297,familial renal glucosuria,"genetic, familial or congenital disease; urinary system disease; nutritional or metabolic disease",0.7268968868988683,other
SLC5A2,MONDO_0005148,type 2 diabetes mellitus,endocrine system disease; nutritional or metabolic disease; phenotype,0.6351936842498059,other
SLC5A2,EFO_0000400,diabetes mellitus,endocrine system disease; nutritional or metabolic disease; phenotype,0.6338060086460615,other
SLC5A2,EFO_0003144,heart failure,cardiovascular disease,0.6299196192875296,other
SLC5A2,EFO_0003884,chronic kidney disease,urinary system disease,0.6265175228513467,other
TP53,MONDO_0018875,Li-Fraumeni syndrome,"nervous system disease; genetic, familial or congenital disease; cancer or benign tumor",0.876069213988417,other
TP53,EFO_0000182,hepatocellular carcinoma,gastrointestinal disease; endocrine system disease; cancer or benign tumor,0.7963791200376996,other
TP53,EFO_0000181,head and neck squamous cell carcinoma,cancer or benign tumor,0.7771299331035201,other
TP53,Orphanet_227535,Hereditary breast cancer,"reproductive system or breast disease; genetic, familial or congenital disease; integumentary system disease; cancer or benign tumor",0.7431566565221103,other
TP53,MONDO_0016419,hereditary breast carcinoma,"genetic, familial or congenital disease; integumentary system disease; reproductive system or breast disease; cancer or benign tumor",0.7426121638298758,other
NOS2,EFO_0000676,psoriasis,"immune system disease; integumentary system disease; genetic, familial or congenital disease",0.5191271913901949,other
NOS2,EFO_1001494,psoriasis vulgaris,"immune system disease; integumentary system disease; genetic, familial or congenital disease",0.4632304927414094,other
NOS2,EFO_0003778,psoriatic arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.42619148899505016,other
NOS2,MONDO_0005148,type 2 diabetes mellitus,endocrine system disease; nutritional or metabolic disease; phenotype,0.3940279178819834,other
NOS2,EFO_1000826,atrophic gastritis,gastrointestinal disease,0.3128927467574282,other
SLC6A4,EFO_0004242,obsessive-compulsive disorder,"nervous system disease; psychiatric disorder; genetic, familial or congenital disease",0.6923630266066987,other
SLC6A4,MONDO_0002009,major depressive disorder,psychiatric disorder; nervous system disease,0.6409519599007372,other
SLC6A4,MONDO_0002050,depressive disorder,psychiatric disorder; nervous system disease,0.6328065727683403,other
SLC6A4,EFO_0005687,fibromyalgia,nervous system disease; musculoskeletal or connective tissue disease,0.6085906126772733,other
SLC6A4,EFO_0004262,panic disorder,psychiatric disorder; nervous system disease,0.6044582546445675,other
CA4,MONDO_0019200,retinitis pigmentosa,"nervous system disease; genetic, familial or congenital disease; disorder of visual system",0.6934860226390277,other
CA4,EFO_0000474,epilepsy,nervous system disease,0.6053553828390881,other
CA4,EFO_1000782,altitude sickness,"respiratory or thoracic disease; injury, poisoning or other complication",0.5976533636089492,other
CA4,MONDO_0005041,glaucoma,disorder of visual system,0.5974270165488643,other
CA4,HP_0001250,Seizure,phenotype,0.5954821029091955,other
TYMS,MONDO_0031057,"dyskeratosis congenita, digenic","genetic, familial or congenital disease; cancer or benign tumor; integumentary system disease",0.6624847221561712,other
TYMS,EFO_0003060,non-small cell lung carcinoma,respiratory or thoracic disease; cancer or benign tumor,0.6316896423084922,other
TYMS,EFO_0000616,neoplasm,cancer or benign tumor,0.6176177679393767,other
TYMS,MONDO_0005575,colorectal cancer,gastrointestinal disease; cancer or benign tumor,0.6173797570763966,other
TYMS,MONDO_0007254,breast cancer,integumentary system disease; reproductive system or breast disease; cancer or benign tumor,0.6127698549964249,other
HRH4,EFO_0005772,neurodegenerative disease,nervous system disease,0.2903173025319367,other
HRH4,EFO_0001073,obesity,nutritional or metabolic disease; phenotype,0.26694391629441616,other
HRH4,HP_0000924,Abnormality of the skeletal system,phenotype,0.26209385467085605,other
HRH4,MONDO_0003916,overnutrition,nutritional or metabolic disease,0.22120567750291492,other
HRH4,EFO_0004593,gestational diabetes,pregnancy or perinatal disease; endocrine system disease; nutritional or metabolic disease; phenotype,0.20688872057253657,other
MADCAM1,EFO_0000729,ulcerative colitis,"gastrointestinal disease; immune system disease; genetic, familial or congenital disease",0.4029849153518034,other
MADCAM1,EFO_0000384,Crohn's disease,"immune system disease; gastrointestinal disease; genetic, familial or congenital disease",0.3841024312696667,other
MADCAM1,MONDO_0005147,type 1 diabetes mellitus,endocrine system disease; gastrointestinal disease; immune system disease; nutritional or metabolic disease; phenotype,0.19952468632658277,other
MADCAM1,EFO_1001754,Abruptio Placentae,pregnancy or perinatal disease; reproductive system or breast disease,0.12678446940649696,other
MADCAM1,EFO_0003767,inflammatory bowel disease,"immune system disease; gastrointestinal disease; genetic, familial or congenital disease",0.08659771485106539,other
ELANE,MONDO_0008090,cyclic hematopoiesis,"hematologic disease; genetic, familial or congenital disease; immune system disease",0.8291093803980005,other
ELANE,MONDO_0042490,"neutropenia, severe congenital, 1, autosomal dominant","genetic, familial or congenital disease; hematologic disease; immune system disease",0.828873128989402,other
ELANE,Orphanet_2686,Cyclic neutropenia,immune system disease,0.8278617541683604,other
ELANE,MONDO_0001475,neutropenia,hematologic disease; immune system disease,0.5883406791348558,other
ELANE,HP_0001875,Decreased total neutrophil count,phenotype,0.5861947139582353,other
FFAR2,MONDO_0005147,type 1 diabetes mellitus,endocrine system disease; gastrointestinal disease; immune system disease; nutritional or metabolic disease; phenotype,0.09182737097469269,other
FFAR2,EFO_0000729,ulcerative colitis,"gastrointestinal disease; immune system disease; genetic, familial or congenital disease",0.08866009612646915,other
FFAR2,HP_0100806,Sepsis,phenotype,0.08611193483503804,other
FFAR2,MONDO_0004975,Alzheimer disease,psychiatric disorder; nervous system disease; phenotype,0.08296320328868784,other
FFAR2,EFO_0000616,neoplasm,cancer or benign tumor,0.0826683194446861,other
FCGRT,EFO_0004991,Myasthenia gravis,immune system disease; nervous system disease; phenotype,0.5932721106551206,other
FCGRT,EFO_1000868,chronic inflammatory demyelinating polyradiculoneuropathy,nervous system disease; phenotype,0.4334237479707765,other
FCGRT,EFO_0007160,autoimmune thrombocytopenic purpura,immune system disease; hematologic disease; phenotype,0.39830707370790674,other
FCGRT,EFO_1001466,Graves ophthalmopathy,disorder of visual system; immune system disease; endocrine system disease; phenotype,0.3806980486464665,other
FCGRT,EFO_0000540,immune system disease,immune system disease,0.37004182950305764,other
SIGLEC8,MONDO_0004627,duodenitis,gastrointestinal disease,0.354801793550851,approved
SIGLEC8,EFO_0004232,eosinophilic esophagitis,gastrointestinal disease; phenotype,0.18610331311696762,approved
SIGLEC8,EFO_0005531,urticaria,integumentary system disease,0.09239496367117545,approved
SIGLEC8,EFO_0000274,atopic eczema,integumentary system disease; immune system disease,0.07631823999239092,approved
SIGLEC8,MONDO_0011988,neutrophil immunodeficiency syndrome,"hematologic disease; immune system disease; genetic, familial or congenital disease; phenotype",0.07619068361198934,approved
MIF,EFO_0000685,rheumatoid arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.6976629981150114,other
MIF,EFO_0002609,juvenile idiopathic arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.4406543042848557,other
MIF,EFO_1001999,systemic juvenile idiopathic arthritis,immune system disease; musculoskeletal or connective tissue disease; phenotype,0.41795035199797914,other
MIF,MONDO_0009061,cystic fibrosis,"respiratory or thoracic disease; genetic, familial or congenital disease",0.38300746349733084,other
MIF,MONDO_0013730,graft versus host disease,"immune system disease; injury, poisoning or other complication",0.2631094422478595,other
ADORA2A,MONDO_0005277,migraine disorder,nervous system disease; cardiovascular disease,0.6090172565654923,other
ADORA2A,MONDO_0004979,asthma,phenotype; respiratory or thoracic disease,0.6079618027530665,other
ADORA2A,MONDO_0005180,Parkinson disease,"nervous system disease; genetic, familial or congenital disease",0.6059823423491659,other
ADORA2A,EFO_0009493,paroxysmal tachycardia,cardiovascular disease,0.5868213846274001,other
ADORA2A,HP_0002104,Apnea,phenotype,0.5731799400475315,other
PPARA,MONDO_0005148,type 2 diabetes mellitus,endocrine system disease; nutritional or metabolic disease; phenotype,0.6178173993845495,other
PPARA,EFO_0000319,cardiovascular disease,cardiovascular disease,0.5814784141911424,other
PPARA,MONDO_0002525,inherited lipid metabolism disorder,"genetic, familial or congenital disease; nutritional or metabolic disease",0.5688683889420109,other
PPARA,HP_0003124,Hypercholesterolemia,phenotype,0.568831495179749,other
PPARA,MONDO_0001336,familial hyperlipidemia,"nutritional or metabolic disease; genetic, familial or congenital disease; phenotype",0.5528292118154212,other
CYSLTR1,MONDO_0004979,asthma,phenotype; respiratory or thoracic disease,0.6212400926080355,other
CYSLTR1,EFO_0005854,allergic rhinitis,respiratory or thoracic disease; immune system disease,0.5968753205589059,other
CYSLTR1,EFO_0003956,seasonal allergic rhinitis,respiratory or thoracic disease; immune system disease,0.5799266215175184,other
CYSLTR1,HP_0006536,Airway obstruction,phenotype,0.5434158457784811,other
CYSLTR1,EFO_1001417,"Rhinitis, Allergic, Perennial",respiratory or thoracic disease; immune system disease,0.4967050585891646,other
BTK,Orphanet_47,X-linked agammaglobulinemia,immune system disease,0.8454716106068291,ongoing
BTK,MONDO_0010615,isolated growth hormone deficiency type III,"nervous system disease; endocrine system disease; genetic, familial or congenital disease; reproductive system or breast disease; phenotype",0.7282575397168882,ongoing
BTK,Orphanet_631,Non-acquired isolated growth hormone deficiency,"endocrine system disease; genetic, familial or congenital disease",0.7281097077750144,ongoing
BTK,EFO_0000095,chronic lymphocytic leukemia,"hematologic disease; immune system disease; genetic, familial or congenital disease; cancer or benign tumor",0.7197806731553859,ongoing
BTK,EFO_1001469,Mantle cell lymphoma,"hematologic disease; immune system disease; genetic, familial or congenital disease; cancer or benign tumor",0.6909216668355049,ongoing
